oldID,newID
39778_and_43675_and_487698,487698__39778_43675
28116_and_309120_and_882211,309120__28116_882211
516075_and_588_and_840,840__588_516075
122355_and_28129_and_84032,28129__84032_122355
1504_and_1827099,1504__1827099
28116_and_882211,28116__882211
39492_and_40520_and_43770,43770__39492_40520
317_and_33034_and_582,33034__317_582
122355_and_84032,84032__122355
163202_and_410072_and_487175,163202__410072_487175
1308_and_626937,1308__626937
179995_and_28125,28125__179995
839_and_905,839__905
28901_and_48296,28901__48296
376804_and_76759_and_83263,83263__76759_376804
39492_and_40520,39492__40520
28136_and_52226_and_633701,28136__52226_633701
166486_and_39029_and_626930,39029__166486_626930
317_and_582,317__582
349096_and_47879_and_84030,47879__84030_349096
1590_and_387661_and_53440,53440__1590_387661
253239_and_46506_and_69825,253239__46506_69825
410072_and_487175,410072__487175
1597_and_2741_and_47715,1597__2741_47715
29375_and_39484_and_452084,452084__29375_39484
39778_and_43675,39778__43675
282685_and_292_and_762210,282685__292_762210
40519_and_46228_and_79880,46228__40519_79880
376804_and_76759,76759__376804
101564_and_529_and_587753,587753__529_101564
1547_and_29360_and_39483,29360__1547_39483
52226_and_633701,52226__633701
166486_and_626930,166486__626930
1144673_and_202956_and_216778,202956__216778_1144673
46506_and_69825,46506__69825
1512_and_305719_and_454155,305719__1512_454155
187452_and_376805_and_671267,671267__187452_376805
1590_and_387661,1590__387661
349096_and_84030,84030__349096
28126_and_310514_and_386414,386414__28126_310514
180282_and_80866,80866__180282
1113609_and_28454_and_585,585__28454_1113609
1010_and_574375_and_999468,1010__574375_999468
33069_and_47884,33069__47884
29466_and_536633_and_729,29466__729_536633
310300_and_59310,59310__310300
29375_and_39484,29375__39484
28026_and_33031_and_79883,79883__28026_33031
290309_and_33029_and_33032,290309__33029_33032
191295_and_36874_and_626932,191295__36874_626932
1113609_and_28454,28454__1113609
291645_and_38304_and_441500,441500__38304_291645
1379_and_726,726__1379
1522_and_173480_and_36835,173480__1522_36835
1453492_and_243924_and_40214,1453492__40214_243924
246787_and_37734_and_589436,37734__246787_589436
185294_and_28137_and_589437,589437__28137_185294
153721_and_1611423_and_254,153721__254_1611423
196024_and_34087_and_511,34087__511_196024
40519_and_79880,40519__79880
328814_and_39497_and_45254,45254__39497_328814
1144673_and_216778,216778__1144673
106648_and_28090_and_40216,40216__28090_106648
1467_and_437898_and_850,1467__850_437898
574375_and_999468,574375__999468
516075_and_588,588__516075
1512_and_454155,1512__454155
1401_and_290588_and_84026,1401__84026_290588
536633_and_729,729__536633
1661032_and_47877_and_47880,1661032__47877_47880
2139_and_261299_and_44749,2139__44749_261299
169435_and_293_and_32013,32013__293_169435
1303_and_28132_and_470565,28132__1303_470565
103892_and_1633_and_28446,1633__28446_103892
1034636_and_1304_and_47770,1034636__1304_47770
285_and_67269_and_83617,67269__285_83617
104663_and_189722_and_454154,104663__189722_454154
