,D001714,D006262,accuracy,macro avg,weighted avg
precision,0.63,0.73,0.69,0.68,0.69
recall,0.61,0.74,0.69,0.68,0.69
f1-score,0.62,0.74,0.69,0.68,0.69
support,853.0,1216.0,0.69,2069.0,2069.0
