,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.76,0.74,0.75,0.75,0.75
recall,0.73,0.77,0.75,0.75,0.75
f1-score,0.75,0.75,0.75,0.75,0.75
support,615.0,615.0,0.75,1230.0,1230.0
