,D003920,D006262,accuracy,macro avg,weighted avg
precision,0.9,0.79,0.83,0.84,0.84
recall,0.76,0.91,0.83,0.83,0.83
f1-score,0.82,0.85,0.83,0.83,0.83
support,1180.0,1180.0,0.83,2360.0,2360.0
