,D006262,D043183,accuracy,macro avg,weighted avg
precision,0.65,0.65,0.65,0.65,0.65
recall,0.65,0.64,0.65,0.65,0.65
f1-score,0.65,0.65,0.65,0.65,0.65
support,1281.0,1281.0,0.65,2562.0,2562.0
