,D006262,D008171,accuracy,macro avg,weighted avg
precision,0.68,0.67,0.67,0.67,0.67
recall,0.66,0.69,0.67,0.67,0.67
f1-score,0.67,0.68,0.67,0.67,0.67
support,1170.0,1170.0,0.67,2340.0,2340.0
