,D006262,D012559,accuracy,macro avg,weighted avg
precision,0.65,0.53,0.61,0.59,0.6
recall,0.77,0.39,0.61,0.58,0.61
f1-score,0.7,0.45,0.61,0.57,0.6
support,1170.0,789.0,0.61,1959.0,1959.0
