,D001172,D006262,accuracy,macro avg,weighted avg
precision,0.57,0.61,0.58,0.59,0.59
recall,0.69,0.48,0.58,0.58,0.58
f1-score,0.62,0.53,0.58,0.58,0.58
support,96.0,96.0,0.58,192.0,192.0
