,D006262,D008107,accuracy,macro avg,weighted avg
precision,0.8,0.82,0.81,0.81,0.81
recall,0.92,0.64,0.81,0.78,0.81
f1-score,0.86,0.72,0.81,0.79,0.8
support,1170.0,724.0,0.81,1894.0,1894.0
