,D006262,D006973,accuracy,macro avg,weighted avg
precision,0.7,0.77,0.75,0.74,0.74
recall,0.59,0.84,0.75,0.72,0.75
f1-score,0.64,0.8,0.75,0.72,0.74
support,96.0,154.0,0.75,250.0,250.0
