oldID,newID
1735_and_387661,1735__387661
376806_and_582_and_671267,582__376806_671267
243924_and_28116_and_33069,33069__28116_243924
243924_and_28116,28116__243924
1646377_and_2139_and_317,2139__317_1646377
36848_and_626930_and_626931,36848__626930_626931
28128_and_52787,28128__52787
100884_and_1661050_and_328814,1661050__100884_328814
1280_and_1535_and_729,1280__729_1535
138595_and_28091_and_28132,138595__28091_28132
626930_and_626931,626930__626931
1504_and_41976,1504__41976
1229909_and_341225_and_840,1229909__840_341225
1379_and_169435,1379__169435
1646377_and_317,317__1646377
185294_and_589437,185294__589437
216935_and_47678_and_69825,216935__47678_69825
1888_and_67269_and_83617,1888__67269_83617
173480_and_239974,173480__239974
28130_and_386414_and_626937,28130__386414_626937
184870_and_187491_and_33029,187491__33029_184870
100884_and_328814,100884__328814
1535_and_729,729__1535
1307_and_1311_and_79880,1307__1311_79880
1755629_and_228603_and_29356,29356__228603_1755629
1725_and_191493,1725__191493
376806_and_671267,376806__671267
1358_and_376804,1358__376804
1467_and_182710_and_487698,1467__182710_487698
34087_and_511,511__34087
218538_and_633701_and_818,633701__818_218538
180282_and_287_and_80866,180282__287_80866
47877_and_529_and_905,529__905_47877
341225_and_840,840__341225
47678_and_69825,47678__69825
28091_and_28132,28091__28132
106648_and_53412_and_70775,106648__53412_70775
39483_and_39484_and_658457,39483__39484_658457
301301_and_36835_and_38304,36835__38304_301301
166486_and_239935_and_40518,166486__40518_239935
108980_and_1265_and_1630,108980__1265_1630
386414_and_626937,386414__626937
28446_and_36847,28446__36847
1597_and_483012_and_82135,82135__1597_483012
287_and_80866,287__80866
13690_and_56810,13690__56810
1755629_and_228603,228603__1755629
106654_and_471,471__106654
28026_and_490189_and_78342,490189__28026_78342
1580_and_28197_and_901,1580__901_28197
218538_and_818,818__218538
67269_and_83617,67269__83617
301301_and_38304,38304__301301
1661032_and_2145_and_43770,1661032__2145_43770
1311_and_79880,1311__79880
261299_and_425941_and_860,425941__860_261299
133926_and_137732_and_38288,38288__133926_137732
47877_and_905,905__47877
1322_and_29430_and_40216,40216__1322_29430
1265_and_1630,1265__1630
143393_and_76759_and_83263,83263__76759_143393
184870_and_33029,33029__184870
1428_and_198252_and_39496,1428__39496_198252
39484_and_658457,39484__658457
1613_and_191295_and_285,191295__285_1613
122355_and_1590_and_187452,187452__1590_122355
1465754_and_470565_and_823,470565__823_1465754
216947_and_29385_and_423605,423605__29385_216947
182710_and_487698,182710__487698
28901_and_588_and_882211,588__28901_882211
115979_and_47884,47884__115979
1685_and_216816_and_288965,288965__1685_216816
1582_and_2741_and_381706,2741__1582_381706
239935_and_40518,40518__239935
114_and_1827099_and_33034,33034__114_1827099
261299_and_860,860__261299
