,D006262,D015212,accuracy,macro avg,weighted avg
precision,0.85,0.82,0.84,0.84,0.84
recall,0.82,0.86,0.84,0.84,0.84
f1-score,0.83,0.84,0.84,0.84,0.84
support,1201.0,1201.0,0.84,2402.0,2402.0
