,D001327,D006262,accuracy,macro avg,weighted avg
precision,0.69,0.72,0.71,0.71,0.71
recall,0.73,0.68,0.71,0.71,0.71
f1-score,0.71,0.7,0.71,0.7,0.7
support,1170.0,1170.0,0.71,2340.0,2340.0
