,D006262,D007676,accuracy,macro avg,weighted avg
precision,0.68,0.63,0.65,0.65,0.65
recall,0.57,0.73,0.65,0.65,0.65
f1-score,0.62,0.68,0.65,0.65,0.65
support,30.0,30.0,0.65,60.0,60.0
