,D001289,D006262,accuracy,macro avg,weighted avg
precision,0.77,0.71,0.73,0.74,0.74
recall,0.66,0.81,0.73,0.73,0.73
f1-score,0.71,0.75,0.73,0.73,0.73
support,1170.0,1170.0,0.73,2340.0,2340.0
