,D006262,D010661,accuracy,macro avg,weighted avg
precision,1.0,0.0,1.0,0.5,0.99
recall,1.0,0.0,1.0,0.5,1.0
f1-score,1.0,0.0,1.0,0.5,0.99
support,1121.0,4.0,1.0,1125.0,1125.0
