features,j_cmi,MIfy
853,0.4954470823880569,0.4954470823880569
821,0.012343136564465174,0.4806322550664649
820,0.0069491589755178995,0.420939111865713
39491,0.004203734221500222,0.36758683825140903
28117,0.0032013242657786822,0.3114951772772
218538,0.0031899082425141945,0.2279582503523715
47678,0.00539132373400486,0.2093996985975629
28116,0.007219252279441951,0.20731468725279767
46506,0.019309072157687596,0.19822938203484564
46503,0.002465123129878677,0.1760122621861272
357276,0.0029728978118715166,0.17237584351717905
33039,0.004587206913409941,0.15397498112275432
39485,0.003780512835180355,0.14569075459386183
823,0.005847305316837942,0.138389953681597
817,0.012048536403782908,0.13484389775143213
818,0.004126643831033394,0.1252208724918339
166486,0.0036366142956146957,0.12457815889409962
204516,0.004903497835859694,0.12272644518767317
216816,0.016556512847529237,0.11945215426090194
562,0.005064885754478429,0.10818639244440742
33038,0.015937017643697635,0.0982695276821498
239935,0.001802148515758245,0.09264105657446875
1531,0.03105934928452988,0.07782022230999985
1680,0.003619838679824655,0.06618201660249878
88431,0.003617864987379711,0.06549542887947701
40545,0.0034178752454035385,0.06352942905269399
371601,0.011395233022630194,0.0628260545503575
338188,0.013245531755877726,0.059631025017099604
208479,0.003943924809907087,0.05621724764329128
74426,0.0048202681820064056,0.049180505613912406
674529,0.011007137165634527,0.048534008668910444
457412,0.0019352059153554327,0.04709625885878799
29466,0.003929392904275693,0.04636500779428421
39488,0.002387993296176588,0.04526066881805624
28118,0.002990691048271106,0.04004860922616149
100886,0.0024140461444014383,0.034408680141062686
28026,0.0034698497098687026,0.0337960512251948
410072,0.0031494698681090415,0.033191775535771684
1304,0.0026930886891749425,0.03267311314552768
301301,0.004215556435800759,0.02963630690750607
1352,0.007684867648567212,0.029527951796589624
29361,0.0036157417496789357,0.02939400864636077
1512,0.009288246580796456,0.02870070304413963
214856,0.0028080578179798393,0.02492392802658816
39486,0.013395421676074729,0.02362136259026637
328814,0.002454698912398419,0.02338417846443719
1318,0.0030203547907968753,0.02183650566827
457394,0.003781454982651672,0.021572468448395665
1308,0.006566662217800015,0.0203402813422211
658081,0.002463365544780032,0.020323943248167886
851,0.004471074521932088,0.01805776780070467
1681,0.001986943566221068,0.017561057918807577
573,0.0024170969785187266,0.016544057329367368
729,0.0024983910700338216,0.016544057329367368
1604,0.0029072290829525275,0.014518441035752283
97478,0.00265996565492296,0.013509794474863002
39496,0.0028447038711070603,0.013272221952659091
261299,0.0025033283822077854,0.012256856666202909
649756,0.004530340924742293,0.012256856666202909
658083,0.0032322187199654486,0.011244269914699845
658082,0.002660027439344348,0.011244269914699845
187326,0.0026045571220483423,0.011244269914699845
387661,0.0027098828018107188,0.010828642649973186
154046,0.002085070241931301,0.010000866410576847
665951,0.001441655349320562,0.009286367809081542
103892,0.0027744792035240646,0.008984344084974283
156456,0.00352271627225618,0.008984344084974283
28126,0.0028871361675652605,0.008984344084974283
626935,0.00207151073210846,0.0077504386542066595
1099853,0.0027476123659794993,0.007239863345433806
1203555,0.002442171724841225,0.006729985360214186
1683,0.0025462691235929764,0.006729985360214186
1547,0.002383160869827549,0.006729985360214186
333367,0.002362513983983485,0.006729985360214186
861,0.0038672951757110835,0.006729985360214186
658089,0.0022125002971817315,0.006729985360214186
84112,0.002318045721944082,0.006729985360214186
469586,0.0014761969786906146,0.006018783271223294
116085,0.0016571470546197743,0.005505542079924153
39777,0.0016544439005618397,0.0049930024370353765
658085,0.0016643458230046026,0.0049930024370353765
1689,0.0014484249400765177,0.0049930024370353765
1686,0.0014493973591835439,0.0049930024370353765
563193,0.002075139991605517,0.0049930024370353765
1226323,0.0022146156158086194,0.004481162412483641
28025,0.001819993385494813,0.004481162412483641
33035,0.0016680198167302444,0.004481162412483641
658657,0.0016518900789704747,0.004481162412483641
150055,0.0017592202023169693,0.004481162412483641
1584,0.0018865572269079135,0.004481162412483641
936548,0.001787721524645675,0.004481162412483641
1309,0.001751584075082053,0.004481162412483641
584,0.002077855403989169,0.004481162412483641
61171,0.0014210804219655089,0.002237844207362838
28080,0.0014239030016828782,0.002237844207362838
197614,0.001422437770859806,0.002237844207362838
