,D003424,D006262,accuracy,macro avg,weighted avg
precision,0.84,0.85,0.85,0.85,0.85
recall,0.85,0.84,0.85,0.85,0.85
f1-score,0.85,0.85,0.85,0.85,0.85
support,631.0,631.0,0.85,1262.0,1262.0
