,D006262,D050031,accuracy,macro avg,weighted avg
precision,0.94,0.97,0.96,0.96,0.96
recall,0.97,0.94,0.96,0.96,0.96
f1-score,0.96,0.96,0.96,0.96,0.96
support,35.0,35.0,0.96,70.0,70.0
