"","Part","BalanceID","Component","Group","d.group"
"7","-1","74426__821_216816","821","74426__821_216816-1","p__FCB group"
"47","1","74426__821_216816","74426","74426__821_2168161","p__Terrabacteria group"
"60","-1","74426__821_216816","216816","74426__821_216816-1","p__Terrabacteria group"
"82","-1","39484__729_1623","729","39484__729_1623-1","p__Proteobacteria"
"97","-1","39484__729_1623","1623","39484__729_1623-1","p__Terrabacteria group"
"111","1","39484__729_1623","39484","39484__729_16231","p__Terrabacteria group"
"177","-1","536633__1680_301301","1680","536633__1680_301301-1","p__Terrabacteria group"
"220","-1","536633__1680_301301","301301","536633__1680_301301-1","p__Terrabacteria group"
"231","1","536633__1680_301301","536633","536633__1680_3013011","p__Terrabacteria group"
"270","1","39491__69825","39491","39491__698251","p__Terrabacteria group"
"280","-1","39491__69825","69825","39491__69825-1","p__Terrabacteria group"
"343","1","33043__239935","33043","33043__2399351","p__Terrabacteria group"
"374","-1","33043__239935","239935","33043__239935-1","p__PVC group"
"396","-1","487175__820_341225","820","487175__820_341225-1","p__FCB group"
"458","-1","487175__820_341225","341225","487175__820_341225-1","p__Terrabacteria group"
"464","1","487175__820_341225","487175","487175__820_3412251","p__Proteobacteria"
"475","1","821__216816","821","821__2168161","p__FCB group"
"528","-1","821__216816","216816","821__216816-1","p__Terrabacteria group"
"556","-1","1515__907_166486","907","1515__907_166486-1","p__Terrabacteria group"
"561","1","1515__907_166486","1515","1515__907_1664861","p__Terrabacteria group"
"603","-1","1515__907_166486","166486","1515__907_166486-1","p__Terrabacteria group"
"647","1","1694__45851","1694","1694__458511","p__Terrabacteria group"
"666","-1","1694__45851","45851","1694__45851-1","p__Terrabacteria group"
"716","1","1496__310297","1496","1496__3102971","p__Terrabacteria group"
"768","-1","1496__310297","310297","1496__310297-1","p__FCB group"
"785","1","817__47877","817","817__478771","p__FCB group"
"825","-1","817__47877","47877","817__47877-1","p__Proteobacteria"
"917","1","208479__454154","208479","208479__4541541","p__Terrabacteria group"
