,D000755,D006262,accuracy,macro avg,weighted avg
precision,0.82,1.0,0.89,0.91,0.91
recall,1.0,0.79,0.89,0.89,0.89
f1-score,0.9,0.88,0.89,0.89,0.89
support,14.0,14.0,0.89,28.0,28.0
