oldID,newID
39491_and_818,818__39491
357276_and_573_and_820,820__573_357276
1689_and_246787_and_562,562__1689_246787
40545_and_626932_and_850,40545__850_626932
28111_and_821,821__28111
1531_and_292800_and_338188,292800__1531_338188
1689_and_246787,1689__246787
204516_and_28116_and_39485,39485__28116_204516
46506_and_817,817__46506
1512_and_310298,1512__310298
371601_and_751585,371601__751585
1681_and_33043,1681__33043
1318_and_40520,1318__40520
29466_and_329854,29466__329854
2173_and_469610,2173__469610
1735_and_291645,1735__291645
29348_and_729,729__29348
103892_and_291644,103892__291644
1531_and_338188,1531__338188
187327_and_328814_and_387661,387661__187327_328814
40518_and_550,550__40518
1685_and_239935,1685__239935
47678_and_823_and_853,823__853_47678
33039_and_74426,33039__74426
357276_and_573,573__357276
166486_and_218538_and_360807,166486__218538_360807
29361_and_469591_and_487174,469591__29361_487174
28117_and_626940_and_674529,626940__28117_674529
626932_and_850,850__626932
165179_and_46503,46503__165179
328813_and_39492,39492__328813
28118_and_487175,28118__487175
1680_and_216816,1680__216816
187327_and_328814,187327__328814
204516_and_28116,28116__204516
47678_and_853,853__47678
29361_and_487174,29361__487174
218538_and_360807,218538__360807
28117_and_674529,28117__674529
