"","Part","BalanceID","Component","Group","d.group"
"16","1","818__328814","818","818__3288141","p__FCB group"
"102","-1","818__328814","328814","818__328814-1","p__FCB group"
"177","1","28117__363265","28117","28117__3632651","p__FCB group"
"240","-1","28117__363265","363265","28117__363265-1","p__FCB group"
"274","-1","338188__562_487174","562","338188__562_487174-1","p__Proteobacteria"
"370","1","338188__562_487174","338188","338188__562_4871741","p__FCB group"
"384","-1","338188__562_487174","487174","338188__562_487174-1","p__FCB group"
"507","-1","626930__371601_1118061","371601","626930__371601_1118061-1","p__FCB group"
"521","1","626930__371601_1118061","626930","626930__371601_11180611","p__FCB group"
"532","-1","626930__371601_1118061","1118061","626930__371601_1118061-1","p__FCB group"
"657","1","626940__751585","626940","626940__7515851","p__Terrabacteria group"
"663","-1","626940__751585","751585","626940__751585-1","p__Terrabacteria group"
"673","1","562__487174","562","562__4871741","p__Proteobacteria"
"783","-1","562__487174","487174","562__487174-1","p__FCB group"
"810","-1","28126__584_53345","584","28126__584_53345-1","p__Proteobacteria"
"844","1","28126__584_53345","28126","28126__584_533451","p__FCB group"
"872","-1","28126__584_53345","53345","28126__584_53345-1","p__Terrabacteria group"
"1039","1","371601__1118061","371601","371601__11180611","p__FCB group"
"1064","-1","371601__1118061","1118061","371601__1118061-1","p__FCB group"
"1069","-1","328812__546_165179","546","328812__546_165179-1","p__Proteobacteria"
"1149","-1","328812__546_165179","165179","328812__546_165179-1","p__FCB group"
"1164","1","328812__546_165179","328812","328812__546_1651791","p__FCB group"
"1270","1","47770__166486_216816","47770","47770__166486_2168161","p__Terrabacteria group"
"1283","-1","47770__166486_216816","166486","47770__166486_216816-1","p__Terrabacteria group"
"1287","-1","47770__166486_216816","216816","47770__166486_216816-1","p__Terrabacteria group"
"1348","-1","147802__821_301301","821","147802__821_301301-1","p__FCB group"
"1412","1","147802__821_301301","147802","147802__821_3013011","p__Terrabacteria group"
"1426","-1","147802__821_301301","301301","147802__821_301301-1","p__Terrabacteria group"
"1480","-1","626929__820_28116","820","626929__820_28116-1","p__FCB group"
"1506","-1","626929__820_28116","28116","626929__820_28116-1","p__FCB group"
"1584","1","626929__820_28116","626929","626929__820_281161","p__FCB group"
"1619","-1","1363__1283_329854","1283","1363__1283_329854-1","p__Terrabacteria group"
"1628","1","1363__1283_329854","1363","1363__1283_3298541","p__Terrabacteria group"
"1699","-1","1363__1283_329854","329854","1363__1283_329854-1","p__FCB group"
"1757","1","1352__1353","1352","1352__13531","p__Terrabacteria group"
"1758","-1","1352__1353","1353","1352__1353-1","p__Terrabacteria group"
"1866","-1","457412__329_2173","329","457412__329_2173-1","p__Proteobacteria"
"1902","-1","457412__329_2173","2173","457412__329_2173-1","p__Euryarchaeota"
"1978","1","457412__329_2173","457412","457412__329_21731","p__Terrabacteria group"
"2072","1","88431__411489","88431","88431__4114891","p__Terrabacteria group"
"2109","-1","88431__411489","411489","88431__411489-1","p__Terrabacteria group"
"2199","-1","626933__46506_218538","46506","626933__46506_218538-1","p__FCB group"
"2219","-1","626933__46506_218538","218538","626933__46506_218538-1","p__Terrabacteria group"
"2252","1","626933__46506_218538","626933","626933__46506_2185381","p__FCB group"
"2279","1","821__301301","821","821__3013011","p__FCB group"
"2357","-1","821__301301","301301","821__301301-1","p__Terrabacteria group"
"2463","-1","158836__46228_54291","46228","158836__46228_54291-1","p__Terrabacteria group"
"2469","-1","158836__46228_54291","54291","158836__46228_54291-1","p__Proteobacteria"
"2478","1","158836__46228_54291","158836","158836__46228_542911","p__Proteobacteria"
"2566","1","1747__39485_387090","1747","1747__39485_3870901","p__Terrabacteria group"
"2582","-1","1747__39485_387090","39485","1747__39485_387090-1","p__Terrabacteria group"
"2638","-1","1747__39485_387090","387090","1747__39485_387090-1","p__FCB group"
"2661","-1","322095__287_39496","287","322095__287_39496-1","p__Proteobacteria"
"2720","-1","322095__287_39496","39496","322095__287_39496-1","p__Terrabacteria group"
"2759","1","322095__287_39496","322095","322095__287_394961","p__FCB group"
"2798","1","546__165179","546","546__1651791","p__Proteobacteria"
"2878","-1","546__165179","165179","546__165179-1","p__FCB group"
"2928","-1","40214__296_550","296","40214__296_550-1","p__Proteobacteria"
"2933","-1","40214__296_550","550","40214__296_550-1","p__Proteobacteria"
"2987","1","40214__296_550","40214","40214__296_5501","p__Proteobacteria"
"3145","1","166486__216816","166486","166486__2168161","p__Terrabacteria group"
"3149","-1","166486__216816","216816","166486__216816-1","p__Terrabacteria group"
"3204","1","584__53345","584","584__533451","p__Proteobacteria"
"3266","-1","584__53345","53345","584__53345-1","p__Terrabacteria group"
"3345","-1","1304__853_46503","853","1304__853_46503-1","p__Terrabacteria group"
"3350","1","1304__853_46503","1304","1304__853_465031","p__Terrabacteria group"
"3395","-1","1304__853_46503","46503","1304__853_46503-1","p__FCB group"
"3475","1","820__28116","820","820__281161","p__FCB group"
"3501","-1","820__28116","28116","820__28116-1","p__FCB group"
"3610","-1","40519__823_674529","823","40519__823_674529-1","p__FCB group"
"3655","1","40519__823_674529","40519","40519__823_6745291","p__Terrabacteria group"
"3721","-1","40519__823_674529","674529","40519__823_674529-1","p__FCB group"
"3793","1","46228__54291","46228","46228__542911","p__Terrabacteria group"
"3799","-1","46228__54291","54291","46228__54291-1","p__Proteobacteria"
"3863","1","548__47678_360807","548","548__47678_3608071","p__Proteobacteria"
"3929","-1","548__47678_360807","47678","548__47678_360807-1","p__FCB group"
"3963","-1","548__47678_360807","360807","548__47678_360807-1","p__Terrabacteria group"
"4061","1","46506__218538","46506","46506__2185381","p__FCB group"
"4081","-1","46506__218538","218538","46506__218538-1","p__Terrabacteria group"
"4146","1","1283__329854","1283","1283__3298541","p__Terrabacteria group"
"4226","-1","1283__329854","329854","1283__329854-1","p__FCB group"
"4345","1","214856__626932","214856","214856__6269321","p__FCB group"
"4379","-1","214856__626932","626932","214856__626932-1","p__FCB group"
"4415","1","1318__291644","1318","1318__2916441","p__Terrabacteria group"
"4483","-1","1318__291644","291644","1318__291644-1","p__FCB group"
"4615","-1","410072__246787_328813","246787","410072__246787_328813-1","p__FCB group"
"4623","-1","410072__246787_328813","328813","410072__246787_328813-1","p__FCB group"
"4635","1","410072__246787_328813","410072","410072__246787_3288131","p__Terrabacteria group"
"4706","-1","154046__33039_74426","33039","154046__33039_74426-1","p__Terrabacteria group"
"4731","-1","154046__33039_74426","74426","154046__33039_74426-1","p__Terrabacteria group"
"4738","1","154046__33039_74426","154046","154046__33039_744261","p__Terrabacteria group"
"4802","1","729__40520","729","729__405201","p__Proteobacteria"
"4853","-1","729__40520","40520","729__40520-1","p__Terrabacteria group"
"4976","1","39485__387090","39485","39485__3870901","p__Terrabacteria group"
"5032","-1","39485__387090","387090","39485__387090-1","p__FCB group"
"5110","1","39486__100886","39486","39486__1008861","p__Terrabacteria group"
"5132","-1","39486__100886","100886","39486__100886-1","p__Terrabacteria group"
"5253","-1","665950__40545_239935","40545","665950__40545_239935-1","p__Proteobacteria"
"5279","-1","665950__40545_239935","239935","665950__40545_239935-1","p__PVC group"
"5315","1","665950__40545_239935","665950","665950__40545_2399351","p__Terrabacteria group"
"5322","1","296__550","296","296__5501","p__Proteobacteria"
"5327","-1","296__550","550","296__550-1","p__Proteobacteria"
"5454","1","287__39496","287","287__394961","p__Proteobacteria"
"5513","-1","287__39496","39496","287__39496-1","p__Terrabacteria group"
"5674","-1","454155__208479_658659","208479","454155__208479_658659-1","p__Terrabacteria group"
"5701","1","454155__208479_658659","454155","454155__208479_6586591","p__FCB group"
"5713","-1","454155__208479_658659","658659","454155__208479_658659-1","p__Terrabacteria group"
"5728","1","571__39488","571","571__394881","p__Proteobacteria"
"5776","-1","571__39488","39488","571__39488-1","p__Terrabacteria group"
"5872","1","853__46503","853","853__465031","p__Terrabacteria group"
"5922","-1","853__46503","46503","853__46503-1","p__FCB group"
"6015","1","1354__28026","1354","1354__280261","p__Terrabacteria group"
"6026","-1","1354__28026","28026","1354__28026-1","p__Terrabacteria group"
"6160","-1","665951__28111_39491","28111","665951__28111_39491-1","p__FCB group"
"6176","-1","665951__28111_39491","39491","665951__28111_39491-1","p__Terrabacteria group"
"6247","1","665951__28111_39491","665951","665951__28111_394911","p__Terrabacteria group"
"6254","1","316__37734","316","316__377341","p__Proteobacteria"
"6305","-1","316__37734","37734","316__37734-1","p__Terrabacteria group"
"6388","1","329__2173","329","329__21731","p__Proteobacteria"
"6424","-1","329__2173","2173","329__2173-1","p__Euryarchaeota"
"6570","1","35833__45851_357276","35833","35833__45851_3572761","p__Proteobacteria"
"6585","-1","35833__45851_357276","45851","35833__45851_357276-1","p__Terrabacteria group"
"6622","-1","35833__45851_357276","357276","35833__45851_357276-1","p__FCB group"
"6717","1","43765__658081","43765","43765__6580811","p__Terrabacteria group"
"6776","-1","43765__658081","658081","43765__658081-1","p__Terrabacteria group"
"6855","1","47678__360807","47678","47678__3608071","p__FCB group"
"6889","-1","47678__360807","360807","47678__360807-1","p__Terrabacteria group"
"6995","1","102862__501496","102862","102862__5014961","p__Proteobacteria"
"7035","-1","102862__501496","501496","102862__501496-1","p__FCB group"
"7064","-1","387661__817_1680","817","387661__817_1680-1","p__FCB group"
"7085","-1","387661__817_1680","1680","387661__817_1680-1","p__Terrabacteria group"
"7161","1","387661__817_1680","387661","387661__817_16801","p__FCB group"
"7193","-1","1396__582_147207","582","1396__582_147207-1","p__Proteobacteria"
"7215","1","1396__582_147207","1396","1396__582_1472071","p__Terrabacteria group"
"7263","-1","1396__582_147207","147207","1396__582_147207-1","p__Terrabacteria group"
"7403","1","208479__658659","208479","208479__6586591","p__Terrabacteria group"
"7442","-1","208479__658659","658659","208479__658659-1","p__Terrabacteria group"
"7499","1","33039__74426","33039","33039__744261","p__Terrabacteria group"
"7524","-1","33039__74426","74426","33039__74426-1","p__Terrabacteria group"
"7628","1","28130__116085","28130","28130__1160851","p__FCB group"
"7661","-1","28130__116085","116085","28130__116085-1","p__Terrabacteria group"
"7727","1","624__487173","624","624__4871731","p__Proteobacteria"
"7831","-1","624__487173","487173","624__487173-1","p__Terrabacteria group"
"7942","1","291645__552398","291645","291645__5523981","p__FCB group"
"7967","-1","291645__552398","552398","291645__552398-1","p__Terrabacteria group"
"7999","1","823__674529","823","823__6745291","p__FCB group"
"8110","-1","823__674529","674529","823__674529-1","p__FCB group"
"8206","1","246787__328813","246787","246787__3288131","p__FCB group"
"8214","-1","246787__328813","328813","246787__328813-1","p__FCB group"
"8312","1","40545__239935","40545","40545__2399351","p__Proteobacteria"
"8338","-1","40545__239935","239935","40545__239935-1","p__PVC group"
"8421","1","28111__39491","28111","28111__394911","p__FCB group"
"8437","-1","28111__39491","39491","28111__39491-1","p__Terrabacteria group"
"8549","1","1689__33038","1689","1689__330381","p__Terrabacteria group"
"8562","-1","1689__33038","33038","1689__33038-1","p__Terrabacteria group"
"8656","1","582__147207","582","582__1472071","p__Proteobacteria"
"8726","-1","582__147207","147207","582__147207-1","p__Terrabacteria group"
"8846","1","45851__357276","45851","45851__3572761","p__Terrabacteria group"
"8883","-1","45851__357276","357276","45851__357276-1","p__FCB group"
"8926","1","817__1680","817","817__16801","p__FCB group"
"8947","-1","817__1680","1680","817__1680-1","p__Terrabacteria group"
