"","818__328814","28117__363265","338188__562_487174","626930__371601_1118061","626940__751585","562__487174","28126__584_53345","371601__1118061","328812__546_165179","47770__166486_216816","147802__821_301301","626929__820_28116","1363__1283_329854","1352__1353","457412__329_2173","88431__411489","626933__46506_218538","821__301301","158836__46228_54291","1747__39485_387090","322095__287_39496","546__165179","40214__296_550","166486__216816","584__53345","1304__853_46503","820__28116","40519__823_674529","46228__54291","548__47678_360807","46506__218538","1283__329854","214856__626932","1318__291644","410072__246787_328813","154046__33039_74426","729__40520","39485__387090","39486__100886","665950__40545_239935","296__550","287__39496","454155__208479_658659","571__39488","853__46503","1354__28026","665951__28111_39491","316__37734","329__2173","35833__45851_357276","43765__658081","47678__360807","102862__501496","387661__817_1680","1396__582_147207","208479__658659","33039__74426","28130__116085","624__487173","291645__552398","823__674529","246787__328813","40545__239935","28111__39491","1689__33038","582__147207","45851__357276","817__1680"
"ERR2238715",0,0,-3.73727317940557,0,0,6.47314702849492,0,0,0,0,0,0,0,0,-0.661264232205665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14534324740824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238721",0,0,-3.93324849593113,0,0,6.81258623374659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,-3.82071430826588,0,0,6.61767130312187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06863274794304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.31502782920704,0,0,4.85559512448204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238745",0,0,-3.91844556461323,0,0,6.78694680460303,0,0,0,0,0,0,0,0,-2.64118431039659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57466541776067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238748",0,0,-2.34052112920091,0,0,4.05390151196445,0,0,0,0,0,0,0,0,-2.18580979500037,0,0,0,0,6.78647711342393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78593362062236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,-0.742701455063162,0,0,1.28639665502473,0,0,0,0,0,0,-3.93469969499095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81509978425009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",0,0,-3.83760581805017,0,0,6.64692825628482,0,0,-2.30219251648192,0,0,0,0,0,-1.47959728765834,0,0,0,-2.31420006992849,0,0,3.98751440735154,0,0,0,0,0,0,-4.0083120999956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56273767696536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17195172537936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49398154751281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",4.43234822771113,0,-2.58877332286255,0,0,-4.48388692447685,0,0,0,0,0,-2.96166597214917,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79330384755769,5.12975593881023,-2.63096134117375,0,0,0,0,0,0,0,0,0,0,0,-2.49026539424577,0,0,0,0,4.83814418494755,0,0,0,0,-2.61813541423648,0,0,0,0,0,0,0,0,0,0,4.55695871566249,0,-4.31326618716422,0,0,0,-4.53474355855297,0
"ERR2239172",0,4.65937812968267,-3.39556895948541,0,0,5.88129795843252,0,0,-5.83712466132233,0,-2.65759411780935,-2.47502498019327,0,0,0,0,-2.6482259297102,4.60308803794198,0,0,0,-0.472191396089062,0,0,0,-2.64800103405339,4.2868690156969,0,0,0,-4.58686186017939,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5864723294754,0,-2.39435329311394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1471415549432,0,0,0,0
"ERR2239212",3.673807144505,0,-3.71533499394566,0,0,6.4351489766525,0,0,0,0,-2.69498991930658,-2.6167808834571,0,0,0,0,0,4.66785946612495,0,0,0,0,0,0,0,0,4.53239744242267,-2.07348876347394,0,4.09465212677145,0,0,0,0,0,0,0,0,0,-2.34364758446387,0,0,0,0,0,0,-2.64228557934909,0,0,0,0,0,0,-2.63828298395374,0,0,0,0,0,0,3.59138788726003,0,-4.0593166913275,-4.57657287153919,0,0,0,-4.5696401729523
"ERR2239217",0,0,0,0,0,0,0,0,0,0,0,-3.18450278091637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51572061339153,0,0,0,0,0,0,0,0,0,0,0,0,-1.69137349680304,0,0,0,0,0,0,0,0,0,-3.67779767343823,0,0,0,0,0,0,0,0,0,0,0,0,-2.92954483103831,0,0,0,-6.37013243035362,0
"ERR2239222",-4.09199415118861,4.02944701277078,-3.51959166535302,-2.33110603798425,0,6.09611158628739,0,-4.03759409561931,0,0,0,-2.45724915215004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25608037837942,0,0,-2.21840095657316,0,0,0,0,-2.4652502138546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84238316834411,0,0,0,0,0,0,0,0,0,4.26993862376621,0,0,0,0,0,0
"ERR2239227",0,4.74199446294132,0,0,0,0,0,0,0,0,-2.76963335113837,-6.07749305543262,0,0,0,0,0,4.79714568250892,0,-2.47527642312763,0,0,0,0,0,-3.27362133711962,-0.756983950944596,0,0,0,0,0,0,0,0,0,0,4.28730452763442,0,0,0,0,0,0,5.67007848063274,0,-3.12090518880743,0,0,-2.48649230137199,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.40556635261981,0,0,4.30673099860515,0
"ERR2239230",4.66751801895135,4.44317004565926,0,0,-5.2112843787281,0,0,0,0,0,-2.6668892659941,-2.78566722367044,-3.04279820132116,0,0,0,0,4.61918770686186,0,0,0,0,0,0,0,-5.79350318724596,4.82491716437653,0,0,0,0,5.27028108186744,0,0,0,0,0,0,0,0,0,0,0,0,1.78423932905411,0,-3.05397021093149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.28963157013519,0,0,0,0
"ERR2239231",0,0,0,0,0,0,0,0,0,-2.34145275571159,0,-2.9360529953307,-2.34824360719453,0,0,4.12914728149961,0,0,0,0,0,0,0,-4.05551513641463,0,-3.42216759215186,5.08539296162756,-2.3845305019462,0,0,0,4.06727723620974,0,0,0,0,0,0,0,0,0,0,0,0,5.92736814162266,0,0,0,0,-2.81413314827788,0,0,0,0,0,0,0,0,0,0,4.13012798156853,0,0,0,0,0,-4.87422159208106,0
"ERR2239232",0,0,-2.09845803393637,0,0,3.6346359323289,-3.90397910201341,0,0,0,-1.54060879878343,0,0,0,0,0,-2.02349335402156,2.66841271408056,0,0,0,0,0,0,6.76189015637435,-2.97990256189523,0,0,0,4.49891048273413,-3.5047932979433,0,0,0,-2.22047672332675,0,0,0,0,-1.11504259661202,0,0,0,0,-0.87893587789076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.845978501826,-1.93131042993555,0,0,0,0,0
"ERR2239235",0,4.96814030862352,-2.57352587386172,0,0,-4.4574775681216,0,0,-3.60122967465797,0,-2.41272811618374,-2.53393037249413,0,0,0,0,0,4.17896768208019,0,0,0,-6.23751276623234,0,0,0,-2.87627240868231,4.38889614800177,0,0,-2.34709294160285,0,0,0,0,0,-2.50082562689027,0,0,0,0,0,0,0,0,4.98184994824628,0,0,0,0,0,0,-4.06528422494243,0,0,0,0,-4.33155704664423,0,0,0,0,0,0,0,0,0,0,0
"ERR2239236",4.67496716119803,5.18876476084501,0,0,0,0,0,0,0,0,-3.41682428129357,-5.67385121349638,0,0,0,0,0,5.91811325573548,0,0,0,0,0,0,0,-2.4679328608595,1.21554808392649,0,0,-5.1686465214406,0,0,0,0,0,0,0,0,0,-3.00583413588147,0,0,0,0,4.27458510467746,0,0,0,0,0,0,0.201664785220494,0,0,0,0,0,0,0,0,0,0,-5.2062574424716,0,0,0,0,0
"ERR2239237",0,0,0,-2.63579026071486,0,0,0,4.56532264965336,0,-2.62356595507848,-3.51416991017276,-5.491396732649,0,0,0,0,-2.57724377142022,6.08672083084899,0,0,0,0,0,4.5441495312039,0,-2.84424437966904,-0.420114321589749,0,0,0,-4.46391715559025,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.92637577472901,0,-2.49946018463457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.32919203128256,0,0,0,0
"ERR2239241",0,5.70775764392756,0,0,0,0,0,0,0,0,-3.19698450078181,-5.18635838679018,0,0,0,0,-5.50993783987592,5.53733958636432,0,0,0,0,0,0,0,-5.17349555560683,0.889511083396947,0,0,0,1.11086658830489,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.607550282082207,0,-3.29941739160442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71475855763523,0,0,0,0
"ERR2239244",5.55617243649612,5.13291171337881,0,0,0,0,0,0,0,-2.49017804279165,-3.40891343893407,0,0,0,0,0,-3.12016208480341,5.90441127483816,-2.40575134007079,0,0,0,0,-4.31311489000755,0,0,0,-2.33858478687834,4.16688355137953,0,-5.40427925872953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77324013700308,0,0,0,-2.47873988724113,0,0,0,0,0,0,4.05054766868092,0,0,0,0,0,-4.80339281887861,4.29330342344919
"ERR2239245",0,0,0,0,5.01803238358549,0,-2.57773754911035,0,-2.91967086139701,0,-2.70439468288609,0,0,0,0,0,0,4.68414899447784,0,0,0,-5.05701827331801,0,0,-4.4647724036372,-5.70132270924526,0,0,0,-2.68984272973173,0,0,0,0,0,0,0,0,-5.27429783408165,0,0,0,0,0,1.1233531148039,0,0,0,0,0,0,-4.65894427226511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239246",0,0,0,0,0,0,0,0,-4.95717054814599,0,-2.27950963177364,-2.20714552559084,0,0,0,0,0,3.94822649857457,0,-2.4358166309855,0,-0.192488215622356,-6.28608504374949,0,0,-2.83900848809237,3.82288819002165,0,0,0,0,0,0,0,0,0,0,4.21895816278814,0,0,0.974612715720349,0,0,0,4.91730694449529,0,-3.09066206519399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.35318372594174,0,0,0,0
"ERR2239247",-4.00500449485023,4.77014919080053,-2.25064270382552,-2.60746097990415,0,-3.89822751270999,0,-4.51625489594732,0,0,0,-5.66048141707279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684000712091302,-2.39297898286483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0377113058853,0,0,0,0,0,0,0,0,0,0,4.14476117976638,0,0,0,0,0,-5.26147032051974,0
"ERR2239251",0,5.01184250030111,-5.95336764220711,0,0,2.68714743892453,0,0,0,0,0,0,0,0,0,0,-2.65431720390873,0,0,0,0,0,0,0,0,-2.52445732243342,0,0,0,6.0578997797346,-4.59741225657408,0,0,0,0,0,0,0,0,-1.9458194454762,0,0,0,0,4.37248834399397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37025814192028,0,0,0,0,0
"ERR2239254",-5.25363350197664,4.77826589604799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.85027889055568,0,0,0,0,0,0,0,0,-6.15846731073183,0,0,0,0,-2.42512274821758,0,0,0,0,0.0847139561780013,0,0,0,0,-2.99000823553659,0,0,0,0,0,0,0,0,0,0,0,-0.322707453687491,-4.20043581450391,0,0,0,-5.17884617899875,0
"ERR2239270",0,0,-3.40502943597151,0,0,5.89768398437025,0,0,0,-2.23181334806819,0,-2.70928529230278,0,0,0,0,-2.28850773091451,0,0,0,0,0,-2.79831913536214,-3.86561411186451,0,-2.23671088302457,4.69261977846751,0,0,0,-3.9638116634581,0,0,0,0,0,0,0,0,-2.16819782012437,4.84683091823943,0,0,0,3.8740968912408,0,0,0,0,-3.09554635372209,0,0,0,0,0,0,0,0,0,0,0,0,-3.75542878531549,0,0,0,5.36164356183124,0
"ERR2239271",0,0,-3.44953114661642,0,0,5.97476320823097,0,0,-5.32002949069367,0,-2.26814203908297,-3.07617201913464,0,0,0,0,0,3.92853725047459,0,0,0,-0.601454047558314,0,0,0,-2.85845439820343,5.32808622996293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95098824880705,0,-2.49034005083543,0,0,-5.05751811094751,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.31339549617062,0,0,-0.339823651371721,0
"ERR2239273",4.15651063382703,0,-2.43399679903983,0,0,4.215806121397,0,0,0,0,-3.23457627958471,-6.02368130114008,-2.66891147026023,0,0,0,-2.83489033292044,5.60245045719784,0,0,0,0,0,0,0,-2.50697169890132,1.76222243424845,0,0,0,-4.91017409050405,-4.62269026739407,0,0,0,0,0,0,0,0,0,0,0,0,4.34220235563434,0,-2.54415462969927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40660508095072,0,0,0,0
"ERR2239275",0,4.20762604478118,-3.35269321711181,0,0,5.80703499422921,0,0,0,0,0,-3.22815527402538,0,0,0,0,0,0,-2.40815279736479,0,0,0,-2.88830766179319,0,0,-2.57836131215787,5.5913289493334,0,4.17104299742494,0,0,0,0,0,-2.29172558819397,0,0,0,0,0,5.00269561811628,0,0,0,4.4658527929274,0,-3.03647859544525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96938515575763,0,-5.25933520340655,0,0,0,0
"ERR2239291",0,3.96424749137434,-3.68599542578891,0,0,6.38433135393287,0,0,0,0,0,-2.00100828938698,0,0,0,-4.34821254116366,0,0,0,0,0,0,0,0,0,-2.41086888856311,-3.46584802358473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17574740537841,0,-2.57533129864131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46060465556909,0,0,0,0
"ERR2239293",2.08329142815749,0,-3.74624338351907,0,0,6.48868387777376,0,0,0,0,-2.72520524548984,0,0,0,0,0,0,4.72019394624161,0,-2.30995272552474,0,0,0,0,0,-2.15002340326265,0,0,0,-2.10415609221582,0,0,0,0,0,0,0,4.00095548369105,0,0,0,0,0,0,3.72394977191305,0,-1.86584603364654,0,0,0,2.87595102389941,3.64450525877339,-2.23126025786862,0,0,0,0,0,0,0,0,0,0,-3.23174012937667,0,0,0,0
"ERR2239294",-4.72388960607994,0,0,-2.81150373984356,0,0,5.61342088104131,-4.86966732307895,0,0,0,-4.71730422994584,0,0,0,0,-3.41051501601854,0,0,0,0,0,0,0,0,-2.87056189412903,0.652019331962594,0,0,0,-5.90718528772069,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97195904690263,0,-2.32313784354235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.02379277800135,0,0,0,0
"ERR2239297",0,4.83929661783236,-3.00975982110176,0,0,5.21305692872767,0,0,-2.89002249643416,0,0,-6.15613523892727,0,0,0,0,0,0,0,0,0,5.005665798841,0,0,0,-2.52946801389555,0.796599749632044,-2.41437198796532,0,0,0,0,0,0,0,-2.4322483958054,0,0,0,0,0,0,0,0,4.38116711618743,0,-2.46042750011932,0,0,0,0,0,0,0,0,0,4.21277779816286,0,0,0,4.18181495152702,0,0,-4.26158543854634,0,0,0,0
"ERR2239300",0,0,0,0,5.2068851816789,0,0,0,-2.98528570315351,0,0,0,0,0,0,0,0,0,-2.70178083166589,0,0,-5.17066651297086,0,0,0,-3.10294087112813,0,5.64784272301939,4.67962167136102,0,0,0,0,0,0,-2.62633412838332,0,0,0,-2.58026532615282,0,0,0,0,5.37445124167596,0,-3.01937730286628,0,0,0,0,0,0,0,0,0,4.54894414801204,0,0,0,0,0,-4.46915064190496,-5.22971489578469,0,0,0,0
"ERR2239303",4.85460699928016,0,0,0,0,0,0,0,0,-2.71744805063369,0,1.89778272267529,0,0,0,0,0,0,0,0,0,0,0,4.70675809062656,0,-2.60005832080707,5.33499419312595,0,0,-2.98394138758776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50343311428006,0,-2.97397286973944,0,0,-3.22174202987887,0,5.16833809010958,0,0,0,0,0,0,0,0,0,0,0,-5.15107211072013,0,0,-5.58022088463029,0
"ERR2239309",0,0,0,0,0,0,0,0,0,0,0,0,0,4.83514580503906,0,4.56812055078063,0,0,0,0,-1.82337575310553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37895531295628,0,0,0,0,-3.15817944566794,0,-4.57570978181184,0,0,-2.56003634419606,0,0,0,0,0,0,-3.46660735863927,0,0,0,-4.11493364950111,0,0,0,0,0,-4.43411301737046,0,0,0,6.00434007505536
"ERR2239312",0,4.58245012696854,-3.19238080346401,0,0,5.52936574870722,0,0,-3.49398439084268,0,-2.4604047660653,0,0,0,0,0,-5.07972369260573,4.26154606200972,0,-2.31244724659113,0,-6.05175848579212,0,0,0,0,0,0,0,0,-0.77183213303842,0,0,0,0,0,0,4.00527612091859,0,-2.65285886211643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.59488633449501,0,0,0,0,0
"ERR2239317",0,0,-3.79851226722405,0,0,6.5792162400057,0,0,0,0,-1.24663933356988,0,0,0,0,0,0,2.15924266445684,0,-2.06641289791837,0,0,0,0,0,-2.63491049259294,0,0,0,0,0,0,0,0,0,0,-2.36631236702484,3.57913212861026,0,-2.94247562440523,0,0,0,-2.03627143784099,4.56379884656731,0,-1.71279648682843,0,0,0,0,0,0,-1.80701949294016,0,0,0,0,0,0,0,0,-5.09651728150282,-2.96665053821231,0,0,0,-3.12984957203971
"ERR2239318",0,-4.16253342665215,0,0,5.4016509070478,0,0,0,-3.09174176278281,0,0,0,0,0,0,3.97333047593457,0,0,0,0,0,-5.3550538170224,0,0,0,-3.143238193977,0,0,0,0,0,0,-4.56008937028275,0,0,0,0,0,0,0,0,0,0,0,5.4442482522592,0,-3.05537722143916,0,0,-3.07168684081212,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.29206858382126,0,0,5.32031767322732,0
"ERR2239320",0,5.63941788165592,-2.43673796911756,0,0,-4.22055396724381,0,0,0,0,-2.41127081635818,-2.41627278486415,0,0,0,0,-2.80556737406325,4.17644356474045,0,0,0,0,0,0,0,-3.07629609300194,-4.18510722833065,0,0,0,4.85938523593515,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32830113220498,0,-2.82681399921405,0,0,-2.57746684175336,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89618547018571,0,0,-4.46430352474092,0
"ERR2239330",0,4.80287412356255,0,0,0,0,0,0,0,0,-3.1606477058577,-2.84776415926794,0,0,0,0,-2.84608526380229,5.47440241137154,0,0,0,0,0,0,0,-5.30118329611661,4.93247221182573,0,0,0,-4.92956427957864,0,0,0,-2.92831594517982,0,0,0,0,0,0,0,0,0,0.277409063349194,0,-2.90833652052995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.07199199766553,0,-5.03738661906595,0,0,0,0
"ERR2239331",0,3.75493990834895,-3.48437606805579,0,0,6.0351163825497,0,0,-3.13833693404995,0,-2.22981323517377,-1.77902061367389,0,0,0,0,-1.78271997624696,3.8621498147105,0,0,0,-5.43575902104446,0,0,0,-2.30381798623173,3.08135409059554,0,0,-2.00316937329774,3.08776157452772,0,0,0,0,0,0,0,0,0,0,0,0,5.54953145847742,3.99032980354437,0,0,0,0,0,0,-3.4695911307176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239335",0,0,-3.79806054979912,0,0,6.57843384247506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73977287756801,0,0,-2.55341606291032,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74542582514698,0,0,-4.42264635382317,0
"ERR2239339",0,0,-2.29637961785245,-2.46091976067497,0,-3.97744617158605,0,4.26243805883929,-3.75154620127312,0,-2.52265824424686,0,0,0,0,0,0,4.36937224916807,0,0,0,-6.49786862754705,0,0,0,1.70265675350805,0,0,0,-2.327094112462,0,0,0,0,0,0,3.59745716331599,0,0,0,0,0,0,0,4.35962490790637,0,-2.89127358054318,0,0,0,0,4.0306452367786,0,0,0,0,0,0,0,0,0,0,0,-5.00783274008238,0,0,0,0
"ERR2239340",0,0,-3.17437368059946,0,0,5.49817649700769,0,0,-2.50283726280788,0,-2.43921668253834,-2.67276393962437,0,0,0,0,0,4.22484722482602,0,0,0,-4.33504130225987,0,0,0,-2.67336351713211,4.62936294006737,0,0,-3.48048794790211,0,0,0,0,0,2.78618620185134,0,0,0,0,0,0,0,0,4.63040143877385,0,0,0,0,0,0,6.0283819608976,0,0,0,0,4.27425256628872,0,0,0,0,0,0,0,0,0,0,0
"ERR2239346",0,0,-3.72495096019165,0,0,6.45180431875442,0,0,0,0,-2.08722994358209,-2.21394870319898,0,0,0,0,0,3.6151883093633,0,0,0,0,0,0,0,-2.03951415222442,3.83467163929187,0,0,0,0,0,0,0,0,-1.97141426642235,0,0,0,-1.9932722167868,0,0,0,0,3.53254213440847,0,-4.23225769167893,0,0,0,0,0,0,0,-2.59112716596124,0,3.41458967220963,0,0,0,0,0,-3.45244875279019,0.612817368301755,0,4.48796390031682,0,0
