,D006262,D007410,accuracy,macro avg,weighted avg
precision,0.86,0.73,0.8,0.8,0.81
recall,0.8,0.81,0.8,0.81,0.8
f1-score,0.83,0.77,0.8,0.8,0.81
support,187.0,129.0,0.8,316.0,316.0
