oldID,newID
216816_and_40518_and_674529,216816__40518_674529
1351_and_1582_and_33945,1582__1351_33945
1351_and_33945,1351__33945
341694_and_46124_and_817,46124__817_341694
1304_and_197614_and_562,1304__562_197614
261299_and_39485_and_571,571__39485_261299
154046_and_29361_and_33038,29361__33038_154046
1681_and_1686_and_446660,1686__1681_446660
166486_and_853,853__166486
239935_and_39488_and_40545,40545__39488_239935
1531_and_33039,1531__33039
1681_and_446660,1681__446660
113107_and_39777,39777__113107
218538_and_457412,218538__457412
341694_and_817,817__341694
39491_and_729,729__39491
40518_and_674529,40518__674529
261299_and_39485,39485__261299
1685_and_28116,1685__28116
154046_and_33038,33038__154046
357276_and_821,821__357276
239935_and_39488,39488__239935
1308_and_29466,1308__29466
197614_and_562,562__197614
