,D054323
216816__40518_674529,0.0
1582__1351_33945,-0.030036395344653775
1351__33945,0.0
46124__817_341694,0.0
1304__562_197614,-0.1635769800882449
571__39485_261299,0.02191279825042115
29361__33038_154046,0.0
1686__1681_446660,0.0
853__166486,0.0
40545__39488_239935,-0.00892397419895825
1531__33039,0.0
1681__446660,-0.047671796288344725
39777__113107,-0.3325790502862509
218538__457412,-0.05028049646745642
817__341694,-0.060484793284429725
729__39491,-0.229300654441844
40518__674529,0.15913303020215544
39485__261299,-0.352700947790798
1685__28116,0.08772795317304236
33038__154046,0.392919498287616
821__357276,-0.10789219543132167
39488__239935,0.23224464899718686
1308__29466,0.31817294952807024
562__197614,-0.013276142521424956
