,D006262,D054323,accuracy,macro avg,weighted avg
precision,0.5,0.71,0.67,0.61,0.64
recall,0.33,0.83,0.67,0.58,0.67
f1-score,0.4,0.77,0.67,0.58,0.65
support,3.0,6.0,0.67,9.0,9.0
