SampleID,D000067877_Risk_Probability
ERR2238626,0.0009577947121814923
ERR2238632,0.019924653554941885
ERR2238634,0.29449547270342813
ERR2238647,0.05241555180590718
ERR2238648,0.15159486530214117
ERR2238665,0.25389924984294043
ERR2238676,0.07186024298713911
ERR2238682,0.4610824713343744
ERR2238687,0.1436958708506879
ERR2238694,0.5591399483445428
ERR2238695,0.010017934330008083
ERR2238705,0.14342614071041382
ERR2238712,0.013632390487395174
ERR2238715,0.08938716042768058
ERR2238721,0.14345861072117028
ERR2238738,0.8144223673001143
ERR2238745,0.008283543094271817
ERR2238748,0.262607016752177
ERR2238754,0.013381902713612726
