oldID,newID
1515_and_487175_and_536633,1515__487175_536633
328813_and_39950_and_467210,39950__328813_467210
1162717_and_33037_and_84112,33037__84112_1162717
328813_and_467210,328813__467210
341694_and_69823,69823__341694
1547_and_225324_and_823,225324__823_1547
53409_and_553,553__53409
487175_and_536633,487175__536633
1411150_and_739,739__1411150
173480_and_70995,70995__173480
28133_and_755171,28133__755171
151276_and_52773,52773__151276
35517_and_84109,35517__84109
292_and_34062_and_40681,292__34062_40681
112009_and_860,860__112009
122355_and_1747_and_40215,122355__1747_40215
1547_and_823,823__1547
28127_and_33033,28127__33033
28134_and_28135_and_439703,28134__28135_439703
1660_and_310297_and_310298,1660__310297_310298
28123_and_859,859__28123
31998_and_41276,31998__41276
288965_and_425254,288965__425254
1535_and_329854_and_735,735__1535_329854
1161942_and_1737_and_216816,1737__216816_1161942
34062_and_40681,34062__40681
1755626_and_310514_and_839,310514__839_1755626
39492_and_437898,39492__437898
1358_and_39497,1358__39497
261299_and_58134_and_818,58134__818_261299
285_and_582,285__582
1124597_and_329,329__1124597
1532_and_291645_and_46506,291645__1532_46506
1535_and_329854,1535__329854
28135_and_439703,28135__439703
1747_and_40215,1747__40215
35785_and_39490_and_850,39490__850_35785
1161942_and_216816,216816__1161942
261299_and_818,818__261299
1532_and_46506,1532__46506
29348_and_40214_and_410072,40214__29348_410072
1661032_and_387661_and_397865,1661032__387661_397865
31971_and_47678_and_78345,31971__47678_78345
341225_and_36835_and_852,36835__852_341225
1162717_and_84112,84112__1162717
1265_and_1608994_and_856,1608994__856_1265
69825_and_907,907__69825
191298_and_28037_and_39485,191298__28037_39485
47678_and_78345,47678__78345
29348_and_410072,29348__410072
35785_and_850,850__35785
1622_and_28125_and_36745,1622__28125_36745
187327_and_454154,187327__454154
387661_and_397865,387661__397865
28118_and_294,294__28118
1504_and_39496_and_92945,92945__1504_39496
1343_and_349096,1343__349096
29367_and_544645_and_901,544645__901_29367
633701_and_729,729__633701
1352_and_46124,1352__46124
1110546_and_1308_and_905,1110546__905_1308
1265_and_856,856__1265
100884_and_2724_and_309120,100884__2724_309120
341225_and_852,852__341225
154046_and_197614_and_36847,154046__36847_197614
137732_and_1520_and_84031,137732__1520_84031
1561_and_29552_and_36834,1561__29552_36834
1195760_and_1322_and_180332,1195760__1322_180332
1512_and_328814_and_33031,328814__1512_33031
114702_and_61635,61635__114702
180311_and_33038_and_39491,180311__33038_39491
28037_and_39485,28037__39485
1496_and_208479_and_29363,1496__29363_208479
29367_and_901,901__29367
1042156_and_1335,1335__1042156
1264_and_28901_and_851,28901__851_1264
1504_and_39496,1504__39496
28116_and_357276_and_358743,358743__28116_357276
243924_and_2751_and_71667,243924__2751_71667
28125_and_36745,28125__36745
360807_and_39029,39029__360807
1303_and_1681_and_998,998__1303_1681
214856_and_89093,89093__214856
1520_and_84031,1520__84031
1322_and_180332,1322__180332
1630_and_189722_and_228603,228603__1630_189722
29552_and_36834,29552__36834
1308_and_905,905__1308
1598_and_218538_and_817,1598__817_218538
1584_and_301301_and_301302,1584__301301_301302
158836_and_185293_and_29375,29375__158836_185293
197614_and_36847,36847__197614
1304_and_1376_and_28161,1376__1304_28161
2724_and_309120,2724__309120
1402_and_39778_and_52226,1402__39778_52226
1512_and_33031,1512__33031
2751_and_71667,2751__71667
239935_and_82801_and_89014,82801__89014_239935
1583_and_37734,1583__37734
33038_and_39491,33038__39491
1303_and_1681,1303__1681
1735_and_29466_and_589437,589437__1735_29466
208479_and_29363,29363__208479
1492_and_387090_and_89152,89152__1492_387090
1264_and_851,851__1264
1078480_and_381,381__1078480
33035_and_39483,33035__39483
1304_and_28161,1304__28161
29389_and_59310,29389__59310
28116_and_357276,28116__357276
29360_and_573,573__29360
39488_and_46503_and_762210,39488__46503_762210
1502_and_28129_and_589436,28129__1502_589436
1002672_and_39489,39489__1002672
218538_and_817,817__218538
39778_and_52226,39778__52226
1559_and_165179_and_308994,308994__1559_165179
1680_and_376805_and_39777,376805__1680_39777
239935_and_89014,89014__239935
301301_and_301302,301301__301302
1735_and_29466,1735__29466
1492_and_387090,1492__387090
1630_and_189722,1630__189722
234908_and_28117_and_358742,358742__28117_234908
1502_and_589436,1502__589436
179995_and_351091_and_562,179995__562_351091
35701_and_821_and_840,840__821_35701
310297_and_310298,310297__310298
158836_and_185293,158836__185293
33043_and_39493,33043__39493
40519_and_79681,40519__79681
204516_and_28026_and_853,28026__853_204516
1559_and_165179,1559__165179
2173_and_371601_and_40520,2173__40520_371601
1680_and_39777,1680__39777
1671366_and_33039,33039__1671366
351091_and_562,562__351091
147207_and_39484,39484__147207
2145_and_246787,2145__246787
1297750_and_255723_and_820,255723__820_1297750
35701_and_821,821__35701
234908_and_28117,28117__234908
1582_and_1590,1582__1590
371601_and_40520,40520__371601
1428_and_294935,1428__294935
204516_and_853,853__204516
1297750_and_820,820__1297750
1689_and_74426,1689__74426
115979_and_443143,115979__443143
46503_and_762210,46503__762210
1507_and_40518,1507__40518
1755626_and_839,839__1755626
