,D003093,D006262,accuracy,macro avg,weighted avg
precision,1.0,0.91,0.95,0.95,0.95
recall,0.91,1.0,0.95,0.95,0.95
f1-score,0.95,0.95,0.95,0.95,0.95
support,724.0,724.0,0.95,1448.0,1448.0
