,D000236,D006262,accuracy,macro avg,weighted avg
precision,0.83,0.89,0.86,0.86,0.86
recall,0.9,0.82,0.86,0.86,0.86
f1-score,0.87,0.85,0.86,0.86,0.86
support,476.0,476.0,0.86,952.0,952.0
