,D006262,D015179,accuracy,macro avg,weighted avg
precision,0.84,0.87,0.86,0.86,0.86
recall,0.88,0.84,0.86,0.86,0.86
f1-score,0.86,0.85,0.86,0.86,0.86
support,629.0,629.0,0.86,1258.0,1258.0
