,D004827,D006262,accuracy,macro avg,weighted avg
precision,0.0,0.97,0.97,0.49,0.94
recall,0.0,1.0,0.97,0.5,0.97
f1-score,0.0,0.99,0.97,0.49,0.96
support,5.0,170.0,0.97,175.0,175.0
