,D002318,D006262,accuracy,macro avg,weighted avg
precision,0.67,0.77,0.73,0.72,0.73
recall,0.63,0.8,0.73,0.72,0.73
f1-score,0.65,0.79,0.73,0.72,0.73
support,746.0,1170.0,0.73,1916.0,1916.0
