"","46506__165179","1304__1358_1363","1582__46228_665951","1318__562_1351","47770__39492_53345","147802__1260_33043","562__1351","1352__1353","39492__53345","1358__1363","357276__674529","1260__33043","1283__40214_40324","54291__158836","411489__28111_39485","820__384638","301301__457412","33038__571_37734","363265__39486_100886","329854__624_28031","582__40545_1118061","46228__665951","287__28117_204516","1286__550_573","28111__39485","817__322095","454155__546_45851","166486__154046_552398","1354__296_328813","28125__74426_360807","328814__818_47678","28126__218538_310298","626933__246787_487174","28117__204516","626929__39491_46503","291645__28116_239935","546__45851","40545__1118061","1680__853_40518","218538__310298","74426__360807","296__328813","39491__46503","291644__751585","246787__487174","28116__239935","40520__88431","550__573","116085__821_33039","571__37734","818__47678","39486__100886","853__40518","823__1078764","214856__501496","821__33039","154046__552398","43765__2173_658081","624__28031","147207__293_106648","293__106648","2173__658081","40214__40324"
"ERR2238756",0,0,0,-6.01273367312906,0,0,2.87950365282837,0,0,0,0,0,0,4.00831577724486,0,0,0,0,0,0,0,0,0,-2.35072102396643,0,0,-2.30219463954277,0,0,0,0,0,0,0,0,0,3.9875180846008,0,0,0,0,0,0,0,0,0,0,-4.0715682479302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239105",0,0,0,-3.17552646343693,0,0,5.50017317545228,0,0,0,5.40645452479571,0,-2.83443978633007,0,-2.56208285179989,4.66376228676094,0,0,0,0,0,0,-5.04857523253141,0,-4.43765767251837,0,0,0,-2.74083259466861,0,0,0,0,0.334642144251566,0,0,0,0,0,0,0,4.74726130900687,0,0,0,0,0,0,0,0,0,0,0,0,4.06451826018787,0,0,0,0,0,0,0,-4.90939372091835
"ERR2239132",0,0,5.07846445111713,0,0,0,0,0,0,0,4.53474723579506,0,0,0,0,5.12975961605232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55901956546789,0,-2.58877544591926,0,0,-2.49026751730248,0,0,-2.7933059706144,0,0,0,0,0,-4.48389060171894,-4.31326986440631,0,0,0,0,4.43235190495322,0,4.83814786218963,-1.31435993095833,0,0,0,0,0,0,0,0,0
"ERR2239172",-5.2911976170484,0,0,-3.39557108254212,0,0,5.88130163567461,0,0,0,0,0,0,0,0,4.28687269293898,0,0,0,0,0,0,-2.69009534048525,0,0,0,-2.78225453889735,0,0,0,0,-2.64822805276691,0,4.65938180692476,-2.39435541617065,0,4.81900622095934,0,-2.6480031571101,4.58686553742148,0,0,4.14714523218529,0,0,0,0,0,-2.65759624086606,0,0,0,4.58647600671748,0,0,4.60309171518407,0,0,0,0,0,0,0
"ERR2239194",0,0,0,-3.78763481783092,0,0,6.56037594500005,0,0,0,0,0,0,0,0,1.98583873995523,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98215921187936,0,0,0,0,0,-2.63584268355025,0,0,0,0,3.43320046366573,0,0,0,0,-4.56541344866773,0,0,-3.34960605523871,0,0,0,0,0,0,-0.549904398785861,0,-4.38764256865294,0,0,0,2.78370032595314,0
"ERR2239212",0,0,0,-3.71533711700237,0,0,6.43515265389458,0,0,0,0,0,0,0,0,4.53240111966476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12107566688744,0,0,0,-2.6422877024058,-2.34364970752058,0,0,5.2765702140209,0,0,0,4.57657654878128,0,0,-4.05932036856959,0,0,-2.69499204236329,0,3.67381082174709,0,0,3.59139156450212,0,4.66786314336703,0,0,0,0,0,0,0
"ERR2239217",0,0,0,0,-3.32369897486628,0,0,0,5.75681549353299,0,6.37013610760766,0,0,0,0,5.51572429064557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69137561986665,0,0,0,0,0,0,0,0,0,-2.92954850829235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239222",0,0,0,-3.51959378840973,-3.12997940703701,0,6.09611526352947,0,5.42128335963241,0,0,0,0,0,0,4.25608405562151,0,0,0,0,-2.33110816104096,0,-2.32640444056525,-2.4570801698158,0,0,0,0,0,-2.21840307962987,4.72503209553565,0,-2.46525233691131,4.02945069001286,0,0,0,-4.03759777286139,0,0,-3.84238684558619,0,0,0,4.2699423010083,0,0,-4.25578769239094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239227",0,0,0,0,-2.85530990759173,0,0,0,4.94554183130367,0,0,0,0,0,-2.47527854618434,4.88477507909794,0,0,0,0,0,0,-2.73779390273159,0,-4.28730820487651,0,-2.4864944244287,0,0,0,0,0,0,4.7419981401834,-3.12090731186414,-3.25727109469806,-4.30673467584724,0,-3.27362346017633,0,0,0,5.40557002986189,0,0,5.64175903004254,0,0,-2.76963547419508,0,0,0,5.67008215787483,0,0,4.797149359751,0,0,0,0,0,0,0
"ERR2239230",0,0,0,0,0,0,0,0,0,0,0,0,6.08560064875573,0,0,4.82492084161862,0,0,0,0,0,0,-2.56526754497336,0,0,0,0,0,0,0,-2.6947949077457,0,0,4.44317372290134,-5.43566052220384,0,0,0,-3.41181924514374,0,0,0,1.16443029760112,-5.21128805597019,0,0,0,0,-2.66689138905081,0,4.66752169619344,0,5.90944427883026,0,0,4.61919138410395,0,0,0,0,0,0,0
"ERR2239231",0,0,0,0,0,0,0,0,0,0,4.87422526932314,0,4.69649146050248,0,0,5.08539663886965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.10000255669197,0,0,0,0,0,0,0,-4.1291509587417,0,0,0,0,0,1.28922928323896,4.13013165881062,0,0,0,0,0,0,0,0,0
"ERR2239235",-6.23751644347443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38889982524385,0,0,0,0,0,0,-2.86835926761233,0,0,0,0,0,0,0.536716492680637,0,0,-2.57352799691843,4.96814398586561,0,0,0,0,-2.87627453173902,0,0.266272821701794,0,0,0,-4.45748124536368,0,0,0,-2.41273023924045,0,0,0,4.98185362548837,0,0,4.17897135932227,0,0,0,0,0,0,0
