,D006262,D007674,accuracy,macro avg,weighted avg
precision,1.0,0.94,0.97,0.97,0.97
recall,0.94,1.0,0.97,0.97,0.97
f1-score,0.97,0.97,0.97,0.97,0.97
support,186.0,186.0,0.97,372.0,372.0
