"","Part","BalanceID","Component","Group","d.group"
"35","1","40520__387090_491921","40520","40520__387090_4919211","p__Terrabacteria group"
"68","-1","40520__387090_491921","387090","40520__387090_491921-1","p__FCB group"
"76","-1","40520__387090_491921","491921","40520__387090_491921-1","p__Terrabacteria group"
"91","1","820__33039","820","820__330391","p__FCB group"
"111","-1","820__33039","33039","820__33039-1","p__Terrabacteria group"
"198","1","39486__216816_751585","39486","39486__216816_7515851","p__Terrabacteria group"
"223","-1","39486__216816_751585","216816","39486__216816_751585-1","p__Terrabacteria group"
"254","-1","39486__216816_751585","751585","39486__216816_751585-1","p__Terrabacteria group"
"292","1","46228__649724_665951","46228","46228__649724_6659511","p__Terrabacteria group"
"335","-1","46228__649724_665951","649724","46228__649724_665951-1","p__Terrabacteria group"
"337","-1","46228__649724_665951","665951","46228__649724_665951-1","p__Terrabacteria group"
"378","1","46503__357276","46503","46503__3572761","p__FCB group"
"405","-1","46503__357276","357276","46503__357276-1","p__FCB group"
"435","-1","626932__853_310297","853","626932__853_310297-1","p__Terrabacteria group"
"483","-1","626932__853_310297","310297","626932__853_310297-1","p__FCB group"
"503","1","626932__853_310297","626932","626932__853_3102971","p__FCB group"
"565","-1","658081__239935_291644","239935","658081__239935_291644-1","p__PVC group"
"566","-1","658081__239935_291644","291644","658081__239935_291644-1","p__FCB group"
"591","1","658081__239935_291644","658081","658081__239935_2916441","p__Terrabacteria group"
"636","1","52226__187326_387661","52226","52226__187326_3876611","p__Terrabacteria group"
"644","-1","52226__187326_387661","187326","52226__187326_387661-1","p__Terrabacteria group"
"664","-1","52226__187326_387661","387661","52226__187326_387661-1","p__FCB group"
"701","1","28116__29361","28116","28116__293611","p__FCB group"
"704","-1","28116__29361","29361","28116__29361-1","p__Terrabacteria group"
"774","1","850__158847","850","850__1588471","p__Fusobacteria"
"811","-1","850__158847","158847","850__158847-1","p__Terrabacteria group"
"860","1","853__310297","853","853__3102971","p__Terrabacteria group"
"908","-1","853__310297","310297","853__310297-1","p__FCB group"
"988","1","216816__751585","216816","216816__7515851","p__Terrabacteria group"
"1019","-1","216816__751585","751585","216816__751585-1","p__Terrabacteria group"
"1025","-1","1099853__818_823","818","1099853__818_823-1","p__FCB group"
"1028","-1","1099853__818_823","823","1099853__818_823-1","p__FCB group"
"1105","1","1099853__818_823","1099853","1099853__818_8231","p__FCB group"
"1112","-1","457412__821_28026","821","457412__821_28026-1","p__FCB group"
"1124","-1","457412__821_28026","28026","457412__821_28026-1","p__Terrabacteria group"
"1177","1","457412__821_28026","457412","457412__821_280261","p__Terrabacteria group"
"1207","1","1735__88431","1735","1735__884311","p__Terrabacteria group"
"1233","-1","1735__88431","88431","1735__88431-1","p__Terrabacteria group"
"1276","-1","39778__562_729","562","39778__562_729-1","p__Proteobacteria"
"1278","-1","39778__562_729","729","39778__562_729-1","p__Proteobacteria"
"1307","1","39778__562_729","39778","39778__562_7291","p__Terrabacteria group"
"1367","1","821__28026","821","821__280261","p__FCB group"
"1379","-1","821__28026","28026","821__28026-1","p__Terrabacteria group"
"1460","1","1363__39491_410072","1363","1363__39491_4100721","p__Terrabacteria group"
"1474","-1","1363__39491_410072","39491","1363__39491_410072-1","p__Terrabacteria group"
"1515","-1","1363__39491_410072","410072","1363__39491_410072-1","p__Terrabacteria group"
