,D006262,D015497,accuracy,macro avg,weighted avg
precision,0.8,0.98,0.89,0.89,0.91
recall,0.98,0.84,0.89,0.91,0.89
f1-score,0.88,0.9,0.89,0.89,0.89
support,41.0,61.0,0.89,102.0,102.0
