,D006262,D015497,accuracy,macro avg,weighted avg
precision,0.78,0.86,0.81,0.82,0.82
recall,0.88,0.75,0.81,0.81,0.81
f1-score,0.82,0.8,0.81,0.81,0.81
support,16.0,16.0,0.81,32.0,32.0
