"","28125__46503_74426","1828__76517","28127__36874","204516__29524_386414","187327__1755626","39485__851_246787","28126__134605","817__242750","40543__218538","40214__310297_397865","33031__28128_281920","33033__38986","199__261299","28124__338188","33043__40681","187101__701529","35833__41276","33037__82135","2051__29348","301301__626947","52226__186651","39778__341225","907__673862","856__1512","239935__341694","33029__43131","40518__328814","840__1535","39497__589436","310297__397865","371601__1827099","317__47678_47877","901__28118","202956__633701","1735__28111","46506__820_28116","905__228603_410072","29375__45851_165179","29524__386414","39488__106648","46503__74426","28128__281920","827__40324","851__246787","44749__28135_351091","47678__47877","45851__165179","228603__410072","28135__351091","820__28116"
"SRR1159461",0,0,0,0,-4.8426454341757,0,0,0,-3.94892013222905,0,0,0,0,0,0,0,0,0,0,0,3.26348748468057,3.19577052205727,0,-4.04639762700046,0,0,0,0,-3.9886095224992,0,0,0,0,0,3.64317881956064,-2.0915996602718,0,-3.69515948915446,0,0,0,0,0,0,0,0,-6.40020397728578,0,0,-3.62275688068455
"SRR1159464",0,-5.25400124064731,4.47777825417118,0,0,0,0,0,0,2.18120573506043,-2.81348102841943,0,0,0,0,0,0,0,0,-5.01245029637186,0,0,-5.11401201774552,4.58638551263697,0,0,0,0,0,5.39901103561226,0,0,0,0,0,-3.11267296930012,0,0,0,0,0,4.87309208735358,0,0,0,0,0,0,0,5.39130773017409
"SRR1159467",0,0,0,0,0,0,0,0,-4.77632559292241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.32056599717229,5.10349742822473,4.58759336872182,0,0,0,0,0,-4.5430201863316,2.48139983374662,0,-2.8633983714641,0,0,0,0,0,0,-3.09310657176949,0,-4.9595514616858,0,-5.35741773552995,4.71551661608467
"SRR1159473",5.51303594359358,4.86217186144795,0,0,0,0,0,0,0,0,0,0,0,0,-4.79767437137222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73804740687989,0,-5.50851930808859,0,0,-2.22821345787018,-3.51993999898017,0,0,0,0,-4.0190487897434,0,0,-4.75344326673479,-6.0967149178276,3.85937891913989,0,0
"SRR1159476",0,0,0,0,-5.24969184950087,0,0,4.28345562149653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207490421046065,-4.9499730520887,0,0,0,0,0,0,0,0,0,0,-0.631492399163245,0,0,0,-0.685955212081269,0
"SRR1159478",5.51485385411547,-5.44024886946869,-0.219760007783761,-2.49804464013749,0,0,0,0,0,0,-5.72986403853359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57695084467407,-4.32674023629325,-5.06108969964879,0,1.2857791481325,0,0,0,0,-4.46340979158302,0,0,0
"SRR1159481",5.76015948118779,0,0,0,-4.80571541159158,0,0,0,0,0,0,-4.01273200989363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.62278927472263,-0.124989587106105,0,0,0,-5.92648616254873,0,-3.55465740363639,0,0,0,0,0,0,-1.82113831996047,0,0,0
"SRR1159484",0,4.61673310010223,0,0,-4.58875619536247,0,0,0,-4.03016947376581,0,0,0,-4.0482884115082,0,0,0,4.35872039864156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12288643745201,0,0,-5.88969495263903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854364206608219
"SRR1159487",5.73993200482134,-4.67327122698084,4.46558690989377,0,0,0,4.36508480126425,-1.05275274651226,0,0,-3.26740891613228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85394434219133,0,0,0,0,0,-2.58503655139499,0,0,0,5.65931825184467,0,0,0,4.94317660264912,-4.47741464643877,0,0,0
"SRR1159490",0,-0.678624738050433,-5.73263217630322,-2.90712757253293,0,0,5.55395405358112,0,-4.76075469244329,0,-2.79449286764614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.47669074270655,0,0,0,0,0,0,0,0,0,0,0,0,-5.0352926597114,-4.32498083397878,0,-4.84020362815197,0,0,0,0,0,0,0,0
