,D006262,D011565,accuracy,macro avg,weighted avg
precision,0.73,0.81,0.77,0.77,0.77
recall,0.84,0.69,0.77,0.77,0.77
f1-score,0.78,0.75,0.77,0.76,0.76
support,32.0,32.0,0.77,64.0,64.0
