,D006262,D015212,accuracy,macro avg,weighted avg
precision,0.77,0.82,0.79,0.79,0.79
recall,0.83,0.75,0.79,0.79,0.79
f1-score,0.8,0.78,0.79,0.79,0.79
support,1201.0,1201.0,0.79,2402.0,2402.0
