,D005764,D006262,accuracy,macro avg,weighted avg
precision,0.88,0.76,0.83,0.82,0.83
recall,0.83,0.82,0.83,0.83,0.83
f1-score,0.85,0.79,0.83,0.82,0.83
support,77.0,51.0,0.83,128.0,128.0
