"","156980__47886_326522","381__310298","1660__185294","584__1313","47886__326522","28901__386414","202956__1076_71999","41976__53363_90241","470__1113656_1113785","1423__1598","55969__172042","53363__90241","305__190721","1076__71999","134534__930124","33011__110845","157687__59803_907224","2145__35825_626937","343__157691","861__536633","729__31998","216903__108980_417621","1559__29363","47885__1661055","28026__820_301302","59803__907224","1270__1304_34062","56460__71433","496__156978","294__53374","821__28111","1113656__1113785","29385__659243","84026__28125_540746","45851__397865_1161942","38288__163202","218538__818_47678","1113738__28090_234908","28118__74426_1297750","108980__417621","1550__147645","189722__40519_228603","850__901_52226","544645__480_28117","817__161879_328814","103892__1463840","28125__540746","1304__34062","28090__234908","1134563__28135_40214","478__39485","480__28117","109790__28104_46506","1282__39029_395922","901__52226","40519__228603","74426__1297750","161879__328814","28116__40520_371601","182640__1303_360807","28135__40214","589437__29394_46503","39492__823_351091","82135__37637_185300","194436__28037_169435","28104__46506","138595__29372_54007","39029__395922","1308__29448_158847","483__43769_487175","29394__46503","83771__633701","1303__360807","31971__204516_426421","37637__185300","2047__43990_410072","28037__169435","29448__158847","29372__54007","1604__100884","301301__329854","43769__487175","387090__38304_387661","35825__626937","1686__78345","204516__426421","165179__853_228604","40520__371601","43990__410072","820__301302","28112__28132","477__1465754","423605__454154","38304__387661","28137__308994","357276__38284_328813","397865__1161942","28127__1747_40518","851__437898","818__47678","38284__328813","1735__376805","823__351091","239935__626947","853__228604","1747__40518"
"SRR5431339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.19364111944998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95317941506228,0,0,0,0,0,0,-2.71543569792766,0,0,0,0,0,0,0,0,0,0,0,-4.70327259349695,-2.76304353603998,0,0,0,2.43384911078582,0,0,5.53154868002852,0,0,0,-4.78573178794602,0,-2.42477936428233,0,0,0,0,-4.19984105608156,4.10542133046112,-5.11505679075441,5.30836733693192,4.7782298120371,0
"SRR5431341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30673137193334,0,0,0,0,0,0,0,0,0,-2.80479634430568,0,0,-2.35765785672355,0,0,0,0,0,-3.019504372426,0,0,0,0,-4.08358319470913,0,0,-5.22993498671821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47680614292462,0,0,0,-2.70512250838414,0,0,5.72742674317049,0,0,0,-4.28995408004414,0,2.79410046283063,4.85804977322089,-2.34188139756974,0,0,-4.18613460260043,0,0,0,4.6854096252195,-4.0562575658912
"SRR5431342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25382088013715,0,0,0,0,0,0,0,0,0,-2.24366015183715,0,0,0,0,0,0,-2.45006638462609,0,0,0,0,0,0,0,-2.9619470575653,0,0,0,0,0,4.24363946008899,0,0,0,0,5.13024279303225,-2.21982671137155,4.48511122520806,0,0,0,0,0,0,0,-3.84485264809405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81328473357976,0,0,3.90373227555715,0,0,0,0,0,0,3.88613337789964,0,0,0,0,0,0,4.45507611146444,5.52760830980176,0
"SRR5431343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71741979437734,0,0,0,0,0,0,0,-4.70670914935493,0,0,0,0,0,0,-2.58482840141904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48013814952819,0,0,0,0,-0.236452253590349,0,0,0,4.44832367445263,0,-2.68334919894565,-4.47705412010482,-4.29572528477269,0,0,0,0,0,0,0,0,-2.9137633895855,0,0,0,0,0,5.47154818635199,4.64769714702311,-5.0467862319962
"SRR5431344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73547179605126,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29630361298655,0,0,0,0,0,-2.53259620089621,0,0,0,0,0,0,0,0,0,0,0,-3.97731452729669,-4.38658529500815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24907234221214,0,0,0,0,0,0,0,0,0,0,0,0,-3.89550756660936,4.13170803615791,0,0,0,0,0,-3.06410392873302,0,0,-3.73645475745195,0,-5.30718368423699,4.6606415655826,0,5.51167727775708,0,0
"SRR5431346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36441061346036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42493183687522,0,0,-2.11967027068468,0,0,0,0,0,0,0,0,0,0,-3.67137660411913,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46618679099215,0,0,0,-2.4494705980489,0,0,0,0,0,0,0,0,0,0,0,4.24260752746682,0,0,0,0,-4.09527931246845,0,0,3.47884309366887,0,0,0,3.67748882059849,0,0,0,-3.81628264357379,0,0,0,0,0,0,0,-4.27156082295365,0,5.43224989661642,0
"SRR5431347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17190690846113,0,0,0,0,0,0,0,0,0,0,0,-2.54207579842269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19090044083545,-2.14399517952732,0,0,0,0,0,0,0,-3.79475087785205,0,0,0,0,0,0,0,0,0.669615116220929,0,0,0,0,0,0,-3.02266702095765,0,0,3.76185311476453,0,-3.69864072895175,0,0,0,0,0,0,0,-4.40300443955932,0,0,-3.71350858212407,4.97666484271693,5.23541285466152,0
"SRR5431348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57111567064658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33402399120497,-2.71802500127551,0,0,0,0,0,0,0,-4.70775739845165,0,0,4.0426481388517,0,0,0,0,0,0,0,-2.35268030538516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24879533012712,0,0,0,2.3763262967311,0,0,4.4533029736964,0,0,0,-4.22477495777321,0,0,0,0,0,0,0,0,-4.07496182289376,5.03120110155223,5.28318381447585,0
"SRR5431349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51211225290626,-2.20633339024834,0,0,0,0,0,0,0,0,-2.01561725325572,0,0,4.35110605634996,0,0,0,-3.91379673009187,-3.49115149125134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43061332950464,0,0,0,0,0,0,0,0,-2.04160980711436,0,0,4.2099457802562,4.60763069689756,0,0,0,0,0,0,-3.53617191515297,0,0,3.82148153034581,0,0,0,0,3.65054589065581,0,0,4.61419764128506,0
"SRR5431350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17845067599863,0,0,0,0,0,0,0,0,0,0,0,-2.54991986699156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12762688031663,0,0,-2.19859343550656,0,-2.34515860528491,0,0,0,0,0,0,0,-3.68515785625768,0,0,0,-4.06193385616082,0,0,0,0,0,0,0,0,0,0.407327696753807,0,0,-3.77318725261239,0,0,0,0,0,0,0,0,0,-4.41659076485866,0,0,-3.80807553548477,4.95096558496181,0.755990362834683,0
"SRR5431352",0,-5.11035573066837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.96795778931166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16641971742631,0,0,0,0,0,0,0,0,0,0,-2.5563647585367,0,0,3.75234902110138,0,0,0,0,0,0,0,0,0,-4.4277536444641,0,0,0,0,0,0,0,-2.72931354506175,0,0,0,0,0,0,0,0,0,0,0,4.72730972983288,-2.8250928936782,0,0,0.345496193410373,0,0,-3.82003714079059,0,0,0,0,0,-5.0058567492501,0,0,0,0,0,4.89320442795243,0
"SRR5431355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29892982619538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73034769897698,-2.19642920316383,0,0,4.84777732893456,0,0,0,0,0,0,-2.49403341495975,0,0,-3.80432697510777,-3.04814091166041,0,0,0,0,0,0,0,-4.3197925904848,0,0,0,5.27953492762515,2.16852198694379,-4.14035722178621,0,0,0,0,0,0,0,0,0,0,0,-3.98186326200588,0,0,0,0,5.4978917074466,0
"SRR5431356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64758324346365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34970358902229,0,0,0,0,0,0,0,0,-4.45147320557741,0,-2.46876965023998,0,0,0,0,0,0,0,0,0,0,0,4.2760344663997,2.8103553418016,0,0,0,0,-4.91545682607555,-4.27835813387254,0,0,0,4.58574869494704,-2.562246809189,0,0,0,0,0,0,5.10251576958277,-4.43794165504659
"SRR5431357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94099666398913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35507663434979,0,0,0,0,0,0,0,-4.07911238641215,0,0,0,0,0,0,4.71627031347007,0,0,0,0,0,0,0,0,0,-2.41844784277604,0,0,0,0,0,0,0,0,-4.18887453914344,0,0,0,0,-2.42302093151531,0,0,0,-3.01548905604755,0,0,5.09395564691975,0,0,-4.14626496460897,-4.19679536118738,0,0,0,-2.25400937608682,-4.76194995436455,0,0,0,0,0,5.22298025474227,-3.904058760119
"SRR5431360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51193061511548,0,0,0,0,0,0,0,0,0,0,0,-2.18492394415316,-2.33229773645658,0,0,0,0,0,0,0,0,0,0,-4.03965817792068,0,0,0,-2.64907626198168,-2.43284076171373,0,0,0,0,0,0,0,0,-2.33723349069986,0,0,-4.58833467887692,0,-4.21380380601276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83705369339938,0,-3.03253338819007,0,0,4.35079145046776,0,0,0,0,0,0,0,0,0,-3.78439928194706,0,0,-4.04820715504371,4.08756610876827,5.2525019039942,0
"SRR5431361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50603717357393,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40577008557479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16691601954487,0,-2.37780157938654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55429343321458,-4.11847314581501,0,4.34058371028636,0,0,-4.53783024186714,0,0,-2.38575220794737,0,0,0,0,-4.13224403843447,4.13974314183837,0,4.09654013121524,5.03760276233467,0
"SRR5431362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87049534521305,0,2.91454061357781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49447144066759,-2.18783301521459,0,0,0,0,0,0,0,0,0,0,-3.78943794082828,0,0,0,0,0,0,0,0,0,0,0,-2.82544632804434,0,0,0,4.07820801854295,0,0,0,-3.72828791095931,0,4.97184378079896,-2.330063910849,0,-3.96717364727322,0,0,-4.32055127326581,0,4.89381659423172,-4.0357890784731
"SRR5431363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.99284314199575,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17041405684854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75926741992335,0,-2.10069817399652,0,0,0,2.82332988564961,0,0,0,0,0,0,-2.19487543843663,0,0,0,0,0,0,0,0,0,0,0,-3.80163577565725,0,0,0,0,3.17121901375917,3.63851596872914,0,1.20377003981554,0,0,0,0,0,0,0,0,0,0,0,0,-3.97751853624543,0,5.23797761676644,0
"SRR5431364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82319400026557,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23548642718363,0,0,0,0,-2.87673215826801,2.49497548272257,0,0,0,0,0,0,-4.98264625788747,0,0,0,0,-3.87197607151267,-4.40666987942658,4.35753001220286,0,0,0,5.18262701650941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.70984877567185,0,0,4.88991544808358,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78040869841323,4.69359576029197,0
"SRR5431365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49339087148964,5.23032580291375,0,0,-2.4944393719288,0,0,0,-2.44020816462653,-2.73388495224173,-2.44889576601618,0,0,4.31867967254849,0,-4.32049572858088,0,0,-4.24161188918034,-2.53276760549384,0,4.73522763933069,-4.22656452217754,0,0,0,0,0,0,0,0,0,-4.38688217647989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47480709484951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76704511978161,0
"SRR5431366",0,-4.51246672201102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550849462319311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17482936219929,0,0,0,0,0,0,0,0,-0.447064543835816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39442131974789,0,0,-0.0125809966640358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22622804903124,0
"SRR5431367",0,0,-3.99435659187625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52448641276055,0,0,0,0,0,0,0,0,-2.67804796738884,0,0,0,0,0,0,0,-2.27931553194412,0,0,0,0,4.63851514462403,0,0,0,0,0,0,0,0,-3.9478903078081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814696002868479,0,0,4.37253872991857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257305438049019,0
"SRR5431368",0,-3.86032679909729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55435470284731,0,0,0,0,0,0,0,0,0,5.1442810898122,0,0,-2.58707381028621,0,0,0,0,0,-2.34290936434578,0,0,0,0,-4.48094328234651,0,0,-4.05803805657579,0,-2.31955813342528,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01759253820221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277989961905989,0,-3.12078059948452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40535055758244,0
"SRR5431369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91317988074975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41858219021961,0,0,0,0,0,0,0,-4.18910723574157,-2.58472223300297,0,0,0,0,0,4.45435044393425,0,0,0,4.82582619877271,0,0,-4.47687023101402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78215173290169,0,0,0,1.89026591732126,0,0,5.04577556504601,0,0,0,-4.81882815575152,0,0,0,0,0,0,0,0,0,0,5.2672151686486,0
"SRR5431370",0,-3.94342573762646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338754442270265,0,0,0,0,0,0,0,0,-2.91541596175466,-2.36377164453782,0,0,0,0,0,0,-5.04964857095636,0,0,0,0,0,-4.09417258583014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30731986834799,0,0,0,0,0,0,0,0,0,0,0,3.99639524129185,-2.85690463245322,0,0,0,0,0,0,0,0,0,0.311568814050307,0,0,0,0,0,0,4.1545313255258,4.94830397578787,0
"SRR5431371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.28842231449925,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06096308977054,0,0,0,0,-2.35438161314264,0,0,0,0,0,0,-3.6213356367552,-4.07790857436903,0,0,0,0,3.73279356255364,0,0,0,0,0,-2.13800674788405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56011964595271,0,-3.21015156689365,0,0,1.25493478930298,0,0,0,0,0,0,0,0,0,0,0,0,-3.70313631426028,0,5.56014561385664,0
"SRR5431372",0,-4.05919227704502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12694828279045,0,-2.13868389011526,0,0,0,0,-2.20161849839959,0,0,0,0,0,0,0,-3.81331509811159,0,0,0,0,3.70430915900868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25322969528229,0,0,0,0,0,0,0,0,0,0,0,3.90270831335186,4.19697212998839,0,0,0,0,0,0,0,0,0,0,0,0,-3.68398249086444,0,4.08916909274378,0,0,4.97658558805161,0
"SRR5431373",0,-5.10761269518895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63656823340382,0,-4.99437812398446,0,0,0,0,0,0,0,0,4.3813432436684,0,0,0,-2.30303276859058,0,0,0,-5.57109398284938,0,0,0,0,0,0,-3.98896976669489,0,0,0,0,0,0,-1.28134280939743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76999469507796,0,0,-0.0398135742674225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79777154857129,0
"SRR5431374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21058942428074,0,0,0,0,0,0,0,-3.82885319752868,0,0,0,0,0,0,0,0,0,0,3.9108682271454,0,0,0,0,0,0,-1.96533555338588,0,0,0,-2.16384255143141,0,0,0,0,0,0,0,-3.40406103238584,5.22296244566474,0,0,3.74788523865868,4.41820777713683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702416117202998,4.99286637319395,0
"SRR5431375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1528899220617,0,0,0,0,0,0,-2.60540245930413,-2.36165186959807,0,0,0,0,0,0,0,0,0,0,0,4.09050102793389,4.51268943367965,0,0,0,0,0,0,-2.24325274925992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92224579503381,0,0,0,0,0,-0.0126287007776665,0,0,0,-3.97003381017269,0,0,0,0,0,-3.88542773593676,0,4.84854486649052,0
"SRR5431376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18956679410005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76669584959011,0,0,0,0,0,0,0,0,-3.73606299783346,0,0,0,0,-0.23090580709042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64290524266206,0,0,0,0,0,0,0,0,0,0,-2.01544826241585,0,0,0,3.47731033449587,0,0,-3.79244093394699,0,0,0,-3.49085879053066,0,0,0,0,0,0,0,0,0,0,5.19779568340863,0
"SRR5431377",0,0,-4.42017613883193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53014668468911,0,0,0,0,0,0,0,0,0,0,0,0,-2.49891707488668,0,0,0,0,0,0,0,0,0,0,-4.32825133760513,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18424263040899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765027351503885,0,0,4.05452535149123,0,0,0,0,0,0,0,0,0,0,0,0,-3.66786611836151,0,0.250039161723087,0
