,D006262,D010300,accuracy,macro avg,weighted avg
precision,0.96,0.86,0.91,0.91,0.92
recall,0.89,0.94,0.91,0.92,0.91
f1-score,0.92,0.9,0.91,0.91,0.91
support,103.0,69.0,0.91,172.0,172.0
