,D006262,D007674,accuracy,macro avg,weighted avg
precision,0.96,0.0,0.96,0.48,0.92
recall,1.0,0.0,0.96,0.5,0.96
f1-score,0.98,0.0,0.96,0.49,0.94
support,174.0,7.0,0.96,181.0,181.0
