,D002318,D006262,accuracy,macro avg,weighted avg
precision,0.74,0.94,0.84,0.84,0.86
recall,0.92,0.8,0.84,0.86,0.84
f1-score,0.82,0.86,0.84,0.84,0.85
support,119.0,187.0,0.84,306.0,306.0
