,D008107
626930__39484_166486,0.19288638069406855
253239__397865_454154,-0.4073778856642616
818__1515,0.07616612691520408
397865__454154,0.018213208378128804
43263__28091_35825,0.0
1661032__1467_487698,-0.3482994330573
1681__1670_405446,-0.2358057682901148
101564__38986_1746653,0.0
1229909__729_39492,0.5527723183163947
39484__166486,-0.4232808583041748
1522__1725_88688,-0.3241985742377338
1307__228603_310514,-0.19543019274301504
1465521__1613_118748,0.0
2173__285_191295,-0.011185805921884636
481743__1113741,0.0
1888__67269_83617,0.0
1613__118748,0.0
157687__228604,0.0
199__60133,0.0
1282__1311_386414,0.0
202611__1401_290588,0.01340840786933792
729__39492,-0.7222599345714242
529__587753,0.0
39483__1547_29360,0.0
106648__173480,0.12827337778316442
36835__239974,-0.1407551147121528
100884__29461_79880,-0.33043353641334405
376806__671267,-0.0593248266175094
421767__821_46503,-0.09210314019918928
28091__35825,-0.0019189215529737203
536633__1685_216816,-0.03271008699888826
511__34087_196024,-0.5702434231951728
1144673__40216_216778,-0.12152237224345573
228603__310514,-0.17802554780460092
225991__290309,0.0
370979__490189,0.0
28454__1113609,0.0
70775__1844653,-0.24044239882945745
28090__271420,-0.3629164640995857
38304__441500,-0.009511662736128657
1670__405446,0.4136691025844589
589437__28137_470565,0.7620212218532574
38286__33031_40518,0.1961641305140391
153721__1611423,1.0436452394248392
34038__36745,0.7913319126395946
28026__78342,0.7170151195722687
38986__1746653,0.0
726__1303_1379,-0.20058674230399112
850__1472,-0.15776894309138398
28126__33935,-0.2938007055376158
13690__56810,0.0
243924__1453492,0.0
106654__471_48296,-0.770481915917316
33029__187491,0.0
1725__88688,-0.28914556276540304
1401__290588,0.2467818282727648
93064__28111_376804,0.2618984155279414
821__46503,-0.05088607631342943
43770__1687_305719,-0.5053705204791697
67269__83617,0.0
1467__487698,0.02519059600985524
185293__470_1148157,-0.9759222535972776
245__588932,0.0923846852267709
1254__2741,-0.2717600118543551
1547__29360,0.0
33031__40518,-0.013512256613530452
29430__202956,0.0
76759__83263,-0.13897588309948222
1512__358742,-1.337051596522716
285__191295,-0.2007805405731893
1580__1590_47884,0.39736967318728855
137732__1902_1121830,-0.7273569937469867
40216__216778,0.4253413232847096
41976__851_251535,-0.7322886905073898
28111__376804,0.37178602934044175
53363__28128_387661,0.7138266733181295
52226__39482_284042,-1.1470486057482134
46228__191493,0.3800353988133978
1267__329854_351091,0.1636428412005662
79883__43131_84032,-0.026490096621994613
1280__820_28116,0.021116467349869487
29461__79880,0.298324905991092
33034__1827099,0.2682308969856164
53412__823_47678,0.4164468384177155
136857__626932,0.2489786444569469
153151__1265_179995,0.2039531153683236
487316__387090_454155,-0.5073046962745434
999468__287_33069,0.5206148111461121
1034636__582_588,0.5328861896183766
28038__349096_410072,0.21148044303404048
301__907_1623,0.8991391749479499
28135__28125_301301,0.04086481713996335
633701__1646377,0.24827608413324576
