,D006262,D008107,accuracy,macro avg,weighted avg
precision,0.95,0.85,0.91,0.9,0.91
recall,0.9,0.92,0.91,0.91,0.91
f1-score,0.92,0.88,0.91,0.9,0.91
support,1170.0,724.0,0.91,1894.0,1894.0
