,D000067877,D006262,accuracy,macro avg,weighted avg
precision,0.76,0.79,0.78,0.77,0.78
recall,0.63,0.87,0.78,0.75,0.78
f1-score,0.69,0.83,0.78,0.76,0.77
support,733.0,1170.0,0.78,1903.0,1903.0
