,D003248,D006262,accuracy,macro avg,weighted avg
precision,0.69,0.73,0.72,0.71,0.71
recall,0.59,0.81,0.72,0.7,0.72
f1-score,0.64,0.77,0.72,0.7,0.71
support,138.0,187.0,0.72,325.0,325.0
