"","Part","BalanceID","Component","Group","d.group"
"4","1","820__179995_310298","820","820__179995_3102981","p__FCB group"
"36","-1","820__179995_310298","179995","820__179995_310298-1","p__Proteobacteria"
"40","-1","820__179995_310298","310298","820__179995_310298-1","p__FCB group"
"81","1","47678__204516","47678","47678__2045161","p__FCB group"
"88","-1","47678__204516","204516","47678__204516-1","p__FCB group"
"126","-1","671267__40518_45851","40518","671267__40518_45851-1","p__Terrabacteria group"
"128","-1","671267__40518_45851","45851","671267__40518_45851-1","p__Terrabacteria group"
"148","1","671267__40518_45851","671267","671267__40518_458511","p__FCB group"
"152","-1","650643__817_821","817","650643__817_821-1","p__FCB group"
"155","-1","650643__817_821","821","650643__817_821-1","p__FCB group"
"197","1","650643__817_821","650643","650643__817_8211","p__FCB group"
"226","1","40518__45851","40518","40518__458511","p__Terrabacteria group"
"228","-1","40518__45851","45851","40518__45851-1","p__Terrabacteria group"
"263","-1","2137__1630_46506","1630","2137__1630_46506-1","p__Terrabacteria group"
"264","1","2137__1630_46506","2137","2137__1630_465061","p__Terrabacteria group"
"280","-1","2137__1630_46506","46506","2137__1630_46506-1","p__FCB group"
"312","-1","169435__1515_626937","1515","169435__1515_626937-1","p__Terrabacteria group"
"335","1","169435__1515_626937","169435","169435__1515_6269371","p__Terrabacteria group"
"346","-1","169435__1515_626937","626937","169435__1515_626937-1","p__Terrabacteria group"
"379","1","46503__246787","46503","46503__2467871","p__FCB group"
"389","-1","46503__246787","246787","46503__246787-1","p__FCB group"
"412","1","1515__626937","1515","1515__6269371","p__Terrabacteria group"
"446","-1","1515__626937","626937","1515__626937-1","p__Terrabacteria group"
"458","-1","39485__851_33033","851","39485__851_33033-1","p__Fusobacteria"
"473","-1","39485__851_33033","33033","39485__851_33033-1","p__Terrabacteria group"
"475","1","39485__851_33033","39485","39485__851_330331","p__Terrabacteria group"
"506","-1","28118__824_185300","824","28118__824_185300-1","p__Proteobacteria"
"519","1","28118__824_185300","28118","28118__824_1853001","p__FCB group"
"537","-1","28118__824_185300","185300","28118__824_185300-1","p__FCB group"
"557","1","850__28117_351091","850","850__28117_3510911","p__Fusobacteria"
"568","-1","850__28117_351091","28117","850__28117_351091-1","p__FCB group"
"593","-1","850__28117_351091","351091","850__28117_351091-1","p__Terrabacteria group"
"608","1","851__33033","851","851__330331","p__Fusobacteria"
"623","-1","851__33033","33033","851__33033-1","p__Terrabacteria group"
"667","1","28116__328814","28116","28116__3288141","p__FCB group"
"692","-1","28116__328814","328814","28116__328814-1","p__FCB group"
"710","-1","28112__1303_28124","1303","28112__1303_28124-1","p__Terrabacteria group"
"716","1","28112__1303_28124","28112","28112__1303_281241","p__FCB group"
"720","-1","28112__1303_28124","28124","28112__1303_28124-1","p__FCB group"
"753","-1","33039__818_1465754","818","33039__818_1465754-1","p__FCB group"
"774","1","33039__818_1465754","33039","33039__818_14657541","p__Terrabacteria group"
"799","-1","33039__818_1465754","1465754","33039__818_1465754-1","p__FCB group"
"836","1","179995__310298","179995","179995__3102981","p__Proteobacteria"
"840","-1","179995__310298","310298","179995__310298-1","p__FCB group"
"856","1","824__185300","824","824__1853001","p__Proteobacteria"
"887","-1","824__185300","185300","824__185300-1","p__FCB group"
"927","1","44749__165179","44749","44749__1651791","p__Terrabacteria group"
"934","-1","44749__165179","165179","44749__165179-1","p__FCB group"
"959","-1","328813__1018_76122","1018","328813__1018_76122-1","p__FCB group"
"982","-1","328813__1018_76122","76122","328813__1018_76122-1","p__FCB group"
"991","1","328813__1018_76122","328813","328813__1018_761221","p__FCB group"
"1010","1","1303__28124","1303","1303__281241","p__Terrabacteria group"
"1020","-1","1303__28124","28124","1303__28124-1","p__FCB group"
"1059","1","1018__76122","1018","1018__761221","p__FCB group"
"1082","-1","1018__76122","76122","1018__76122-1","p__FCB group"
"1101","1","204__143361","204","204__1433611","p__Proteobacteria"
"1133","-1","204__143361","143361","204__143361-1","p__Terrabacteria group"
"1161","1","1510__29552","1510","1510__295521","p__Terrabacteria group"
"1172","-1","1510__29552","29552","1510__29552-1","p__Terrabacteria group"
"1202","1","817__821","817","817__8211","p__FCB group"
"1205","-1","817__821","821","817__821-1","p__FCB group"
"1268","1","28117__351091","28117","28117__3510911","p__FCB group"
"1293","-1","28117__351091","351091","28117__351091-1","p__Terrabacteria group"
"1303","1","818__1465754","818","818__14657541","p__FCB group"
"1349","-1","818__1465754","1465754","818__1465754-1","p__FCB group"
"1363","1","1630__46506","1630","1630__465061","p__Terrabacteria group"
"1380","-1","1630__46506","46506","1630__46506-1","p__FCB group"
