,D006262,D055113,accuracy,macro avg,weighted avg
precision,0.78,1.0,0.88,0.89,0.9
recall,1.0,0.78,0.88,0.89,0.88
f1-score,0.88,0.88,0.88,0.88,0.88
support,7.0,9.0,0.88,16.0,16.0
