"","820__179995_310298","47678__204516","671267__40518_45851","650643__817_821","40518__45851","2137__1630_46506","169435__1515_626937","46503__246787","1515__626937","39485__851_33033","28118__824_185300","850__28117_351091","851__33033","28116__328814","28112__1303_28124","33039__818_1465754","179995__310298","824__185300","44749__165179","328813__1018_76122","1303__28124","1018__76122","204__143361","1510__29552","817__821","28117__351091","818__1465754","1630__46506"
"SRR5942086",7.3558632950376,0,0,-0.668397711080389,0,0,0,0,0,0,0,0,0,5.82437863170684,0,-2.66779780931915,0,0,0,5.19672358075582,0,0,0,0,1.18542848534785,0,4.62076135006171,0
"SRR5942087",0,0,0,0,0,0,0,0,0,-6.41032291266979,-5.10696373774953,0,1.83444934648436,0,2.28700174737944,0,0,-0.528293240386515,0,-4.98921020056276,-4.40255587280043,-0.15114709366634,4.16480868619959,0,0,0,0,0
"SRR5942088",5.07996488893701,-5.12311400782264,0,0,0,-2.38985846150781,-2.60034186490203,4.79619477838645,4.50392422705872,0,0,-2.888127186885,0,0,0,-3.31638047570133,0,0,-4.49549614717481,0,0,0,0,-4.97365531861395,0,5.0023830264058,-5.74413948114415,-4.13935627822991
"SRR5942089",6.04150769420636,0,0,0,0,0,0,5.3115144358813,0,5.70727318983627,0,-2.53672403458002,0,1.35892630112874,0,1.42968370161928,0,0,0,0,0,0,0,0,0,4.39373491267371,5.18291969166057,0
"SRR5942092",5.00006282360894,5.11736171221395,0,0,0,0,0,0.790908654887935,0,0,5.01112918699516,0,0,1.59859369034703,0,-3.03677405826973,0,0,0,5.40574935742737,0,0,0,0,0,0,5.2598469600303,0
"SRR5942095",0,0,-0.320519680457689,0,-0.425101772090089,0,-0.840775136669997,0,0.243838938593421,4.91041711970797,0,0,0,0,0,0,0,0,0,4.97277553121463,0,0,0,0,0,0,0,0
"SRR5942103",0,0,0,0,0,3.39085685718756,0.7818643994227,0,-4.17323502377803,0,0,-1.91304921816713,0,0,0,0,0,0,0,0,0,0,0,1.46831645531407,0,-3.31349844324539,0,2.5621938747172
"SRR5942104",0,-6.06040525704423,0,0,0,0,0,4.52737204899713,0,0,0,-0.169197044288923,0,4.24066492151931,0,-2.59564245714186,0,0,-0.302380095415291,0,0,0,0,0,0,0.120086778127327,4.49578461405262,0
"SRR5942107",2.00712346521886,0,0,-2.45419564498049,0,-2.9561376315016,0,4.57090150546654,0,0,0,-2.89030794922475,0,0.185799737604134,0,0,-6.00912827909509,0,0,0,0,0,0,0,-4.25079154882049,5.00616021757747,0,-5.1201805719271
"SRR5942108",5.14076186731385,0,0,0,0,0,0,0.220301971808096,0,0,5.11133491503494,-4.97092333408195,0,6.16852392266627,0,-2.93223078999707,0,0,0,0,0,0,0,0,0,0.524630972224222,5.07877270779276,0
"SRR5942121",-0.18901353936711,-4.27621932323716,0,0,0,0,-2.57474438499506,5.23372749285406,4.45958809131413,0,0,-4.97726492376954,0,0,0,0,-0.668981419482312,0,0,0,0,0,0,0,0,-0.50031526081,0,0
"SRR5942125",0,0,0,0,0,0,0,0,0,-6.66825639080183,-5.42597696264523,0,1.16648246902947,0,0.342874130405537,0,0,-0.0500716645548791,0,0,-0.0388086340918164,0,-0.181867352207188,0,0,0,0,0
