,D003248,D006262,accuracy,macro avg,weighted avg
precision,0.69,0.67,0.68,0.68,0.68
recall,0.66,0.71,0.68,0.68,0.68
f1-score,0.67,0.69,0.68,0.68,0.68
support,1170.0,1170.0,0.68,2340.0,2340.0
