,D003424,D006262,accuracy,macro avg,weighted avg
precision,0.82,0.89,0.85,0.85,0.85
recall,0.9,0.8,0.85,0.85,0.85
f1-score,0.86,0.84,0.85,0.85,0.85
support,632.0,632.0,0.85,1264.0,1264.0
