"","204516__214856","28118__457412","40520__166486_410072","1211813__33959_658085","100886__665951","908612__1681_246787","457402__729_33043","1535__820_674529","469610__301301_328813","469591__291644_658081","454154__46503_47678","166486__410072","658086__39488_239935","292800__1623_84112","1689__457392","358743__457421","187327__626932","469588__563193","1681__246787","552396__573_454155","626935__850_1604","33959__658085","61171__649756_1161942","729__33043","301301__328813","39777__1318_1583","820__674529","1358__261299_363265","1309__156974","291644__658081","626934__88431_357276","1584__29361_328812","658087__1226323","665950__853_1680","584__626931","552395__1304_329854","39488__239935","46503__47678","1099853__28111_33039","28025__52226_97478","573__454155","154046__1512_163665","1623__84112","88431__357276","649756__1161942","548__28117_40545","853__1680","261299__363265","1304__329854","1203555__46228_338188","861__562_310298","156456__851_907","1547__1308_487173","905__187326","28111__33039","376805__823_165179","150055__1735_28026","658082__28116_360807","28117__40545","29361__328812","850__1604","52226__97478","333367__818_310297","658089__2173_29466","39486__384638","1683__1352_387090","562__310298","851__907","46228__338188","1318__1583","1512__163665","33035__371601_626940","1308__487173","823__165179","40519__821_39485","28116__360807","1735__28026","55565__46506_487174","103892__208479_411489","936548__39492_74426","818__310297","1352__387090","2173__29466","821__39485","371601__626940","658083__33038_751585","39492__74426","208479__411489","28126__1531_45851","46506__487174","626929__40518_216816","28080__817_39491","33038__751585","1531__45851","817__39491","40518__216816"
"ERR209057",0,0,0,0,0,0,0,-3.07203205332438,-2.89319724039815,0,0,0,-2.72096130791188,0,0,0,0,0,0,0,0,0,0,0,-5.01116461668765,0,5.32091559883796,0,0,0,0,0,0,-2.40927062922154,0,0,-4.71284323073244,0,0,0,0,0,0,0,0,-2.47536318363892,4.17297913899514,0,0,0,0,0,0,0,0,0,0,0,4.28745480124806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65206933304901,0,0,0,0,-2.90922453756542,0,0,0,4.59351883003618,0,0,5.03892470968937,0,0,0,0,-3.42440921404777,0,0,-5.93125074463775,0
"ERR209058",0,0,0,0,0,0,0,-2.62271053350744,-2.62465208747824,0,0,0,-2.56406441491495,0,0,0,0,0,0,0,0,0,0,0,-4.54603076770403,0,4.54266789758097,0,0,0,-2.3160948196858,0,0,-2.27025361584775,0,0,-4.44108984051207,0,0,0,0,0,0,-4.01159390284289,0,-2.34837912955731,3.93219460871526,0,0,0,0,0,0,0,0,0,0,0,4.06751196782764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82114186618024,0,0,0,0,-2.94552823887405,0,0,0,4.88636104758386,0,0,5.10180456485873,0,0,0,0,-3.52499643926871,0,0,-6.10547292931279,0
"ERR209059",0,0,0,0,0,0,0,-2.49859263564542,-2.80856877986178,0,0,0,-2.69119067051446,0,0,0,0,0,0,0,0,0,0,0,-4.86458382327234,0,4.32768939235531,0,0,0,-2.28335348831709,0,0,0,0,0,-4.6612789741864,0,0,0,0,0,0,-3.95488425340483,0,-2.40408086719295,0,0,0,0,0,0,0,0,0,0,0,0,4.16399020748244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75508354993618,0,0,0,0,-2.95965626402811,0,0,0,4.77194468758669,0,0,5.12627502223618,0,0,0,0,-3.49643003983397,0,0,-6.05599447410251,0
"ERR209060",0,0,0,0,0,0,0,-2.96743303586616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.18831512121917,5.13974478617855,0,0,0,0,0,0,-2.97655721827217,0,0,0,0,0,0,0,0,0,0,0,0,5.15554833368328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222837122477083,0,0,0,0,-5.00481554549581,0,0,0,0,0,0,0,0,0.218269050760803,0,-2.56987450976704,0,0,0,0,-2.71811335420568,0,-4.45115321999267,0,0,4.70791043021569
"ERR209061",0,0,0,0,0,0,0,-2.95952507540239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27496398998728,5.12604779687105,0,0,0,0,0,0,-2.81932134116977,0,0,0,0,0,0,0,0,0,0,0,0,4.88320780576928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525922901687711,0,0,0,0,-5.26873755682782,0,0,0,0,0,0,0,0,0.301221058426899,0,-2.56992203097129,0,0,0,0,-2.75616386530047,0,-4.45123552913287,0,0,4.77381584868583
"ERR209062",0,0,0,0,0,0,0,-2.77467310620954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.38585008664224,4.80587479434989,0,0,0,0,0,0,-2.77855842697611,0,0,0,0,0,0,0,0,0,0,0,0,4.81260436732128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174349597586615,0,0,0,0,-2.6255481185333,0,0,0,0,-2.50702253663575,0,0,0,4.54758273901655,0,-2.52924145305289,4.34229040917332,0,0,0,-2.83144299037261,0,-4.38077470129693,0,0,4.90420311806011
"ERR209069",-3.77825295182663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3690372609523,0,0,-2.52177790564925,0,0,0,0,-2.38685330454009,0,0,0,0,-4.10329290099319,0,-2.52815292193235,4.36784745798913,0,0,0,0,0,0,0,4.1341511936771,-3.53276263124472,0,0,4.37888931009054,0,0,0,0,0,0,0,0,0,0,0,0,-2.67026205459173,0,-6.11892436839656,0,0,0,0,0,0,0,0,0,0,-4.62502954807614,0,0,0,-3.15320363446733,0,-2.47496411749178,0,0,-5.46150890150827,0,4.28676359840564
"ERR209070",-3.85447826979228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29881581950277,0,0,-2.61128130714385,0,0,0,0,-2.38911010054605,0,0,0,0,-3.98166579662188,0,-2.58262531812694,4.52287189682802,0,0,0,0,0,0,0,4.13806007902175,-3.53719696906882,0,0,4.4732382679096,0,0,0,0,0,0,0,0,0,0,0,0,-2.71000460195781,0,-6.12660486680583,0,0,0,0,0,0,0,0,0,0,-4.6938656593364,0,0,0,-3.10838068051369,0,-2.46262620882942,0,0,-5.38387326791524,0,4.26539371374329
"ERR209071",-3.87454006767295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3776751287114,0,0,-2.62238451272955,0,0,0,0,-2.3705000466476,0,0,0,0,-4.11825412682101,0,-2.61213502879737,4.54210321302933,0,0,0,0,0,0,0,4.10582652013804,-3.52646828091903,0,0,4.52435058610743,0,0,0,0,0,0,0,0,0,0,0,0,-2.70495800483707,0,-6.10802223383183,0,0,0,0,0,0,0,0,0,0,-4.68512469671795,0,0,0,-3.11533486855259,0,-2.45444569892502,0,0,-5.395918274924,0,4.25122465495705
"ERR209072",-3.84791697640413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34251431577038,0,0,-2.64893929428292,0,0,0,0,-2.375096366897,0,0,0,0,-4.05735381237175,0,-2.63898197328439,4.58809744386366,0,0,0,0,0,0,0,4.11378758033785,-3.5255144189249,0,0,4.57085085798694,0,0,0,0,0,0,0,0,0,0,0,0,-2.72736112548177,0,-6.1063700963946,0,0,0,0,0,0,0,0,0,0,-4.72392803992266,0,0,0,-3.10961852894909,0,-2.45163866982497,0,0,-5.38601728429742,0,4.24636273793743
"ERR209077",0,0,0,0,0,0,0,0,0,0,0,0,-2.30260108001026,0,0,0,0,0,0,-2.04048055028749,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62873857800753,0,0,-3.98822206014074,0,0,-2.26505070137997,3.53421598495403,0,0,0,0,-2.29414652841527,4.5531087769254,0,0,0,0,0,0,0,0,-3.01032939566801,0,0,3.973578347223,0,0,3.92318289650963,0,0,0,0,0,0,0,0,0,-2.78756384696736,0,-5.21404346081511,0,0,0,0,-2.90589438744586,-3.35500312290944,0,0,0,0,-4.82820221228961,0,5.81103586843139,-5.03315672048546,0,0,0,0,0,0,0,0
"ERR209078",0,0,0,0,3.59593381711489,0,0,0,0,0,0,0,-2.10015808923211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0331143516803,0,0,0,0,0,-2.41554547704368,0,0,-3.63758051447679,0,0,0,0,0,0,0,0,-2.07649779202452,4.18384749423286,3.52145735470773,0,0,0,0,0,0,0,-3.0405616112157,0,0,3.59659967759106,0,0,0,0,0,0,0,0,0,0,0,0,-2.69972597889541,0,-5.26640719416909,0,0,0,0,-2.99705648284679,-3.33013335777619,0,0,0,0,-4.67606256196047,0,5.76796017164831,-5.19105410144432,0,0,0,0,0,0,0,0
"ERR209079",0,0,0,0,4.00906611806529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17194908375297,0,0,0,0,0,0,0,0,0,0,-2.22162582509353,0,0,0,0,0,0,0,0,3.76192616451281,0,0,0,0,0,0,-3.84796880446913,-3.01310600450932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6019185263889,0,-5.218852688401,-4.64195258391457,0,0,0,-3.24061934774883,-3.29180335173843,0,0,0,0.464103206861415,-4.50665508486031,0,5.70157065373649,-5.61291735829169,0,0,0,0,0,0,0,0
"ERR209082",0,0,-2.76761038897245,0,0,-2.85396132589747,0,-2.6702004123677,0,0,0,4.79364180925574,-2.69232922806133,0,0,0,0,0,-4.94320601929106,0,0,0,0,0,0,0,4.62492278061223,0,0,0,0,0,0,-3.00630190616894,0,0,-4.66325101370492,0,0,0,0,0,0,0,0,-2.81061328435163,5.20706764437577,0,0,0,0,0,0,0,0,0,0,0,4.86812500892506,0,0,0,0,0,0,-2.63182961068911,0,0,0,0,0,0,0,0,-2.72310282696144,0,0,-2.56655874457126,0,0,0,-4.55846260257775,0,4.71655245053165,0,0,0,0,0,-4.44541014620762,0,0,0,0,0,0
"ERR209083",0,0,-2.83776224949625,0,0,-2.92344096773268,0,-2.71000871370401,0,0,0,4.91514839592845,0,0,0,0,0,0,-5.06354828904133,0,0,0,0,0,0,0,4.69387278108973,0,0,0,0,0,0,-2.85112689130568,0,0,0,0,0,0,0,0,0,0,0,-2.68905203985697,4.93829663456734,0,0,0,0,0,0,0,0,0,0,0,4.657574757229,0,0,0,0,-2.65828539378257,0,-2.66195863056933,0,0,0,0,0,0,0,0,0,0,0,-2.62568665055091,0,0,0,-4.61064759579254,4.60428536304964,0,0,0,0,0,0,-4.54782268350952,0,0,0,0,0,0
"ERR209084",0,0,-2.77503020794582,0,0,-2.87300505818113,0,-2.69005670065219,0,0,0,4.80649331270059,-2.53988273616449,0,0,0,0,0,-4.97619073117209,0,0,0,0,0,0,0,4.65931488077069,0,0,0,0,0,0,-2.75389772621258,0,0,-4.39920594430396,0,0,0,0,0,0,0,0,0,4.76989078064859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7802575141413,0,-2.51253128629662,0,0,0,0,0,0,0,0,-2.62438542982471,0,0,-2.57429112629958,0,0,0,-4.35183184347213,4.81554727261788,4.54556890309988,0,0,0,0,0,-4.45880302422459,0,0,0,0,0,0
"ERR209085",0,4.12394064806701,0,0,0,-3.15126063850641,0,0,0,-2.67124344943923,0,0,-2.72854160328876,0,0,0,0,0,-5.45814353378504,0,0,0,0,0,0,0,0,0,0,4.62672937381429,-2.75891094233917,0,0,-2.61616289869821,0,0,-4.72597268746157,0,0,0,0,0,0,-4.77857392568918,0,-2.83319090991028,4.53132706142197,0,0,0,0,0,0,0,0,0,0,0,4.9072306035069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52970981999644,0,0,0,0,0,0,0,0,0,0,0,-4.38158593663975,-2.89748560056228,0,0,0,0,5.01859227437309
