"","Part","BalanceID","Component","Group","d.group"
"55","1","158787__165179_218538","158787","158787__165179_2185381","p__Terrabacteria group"
"57","-1","158787__165179_218538","165179","158787__165179_218538-1","p__FCB group"
"63","-1","158787__165179_218538","218538","158787__165179_218538-1","p__Terrabacteria group"
"126","-1","74426__33034_301302","33034","74426__33034_301302-1","p__Terrabacteria group"
"141","1","74426__33034_301302","74426","74426__33034_3013021","p__Terrabacteria group"
"160","-1","74426__33034_301302","301302","74426__33034_301302-1","p__Terrabacteria group"
"225","-1","351091__39778_1161942","39778","351091__39778_1161942-1","p__Terrabacteria group"
"259","1","351091__39778_1161942","351091","351091__39778_11619421","p__Terrabacteria group"
"275","-1","351091__39778_1161942","1161942","351091__39778_1161942-1","p__Terrabacteria group"
"323","-1","349096__47678_387090","47678","349096__47678_387090-1","p__FCB group"
"350","1","349096__47678_387090","349096","349096__47678_3870901","p__Terrabacteria group"
"352","-1","349096__47678_387090","387090","349096__47678_387090-1","p__FCB group"
"394","1","2173__2317_45851","2173","2173__2317_458511","p__Euryarchaeota"
"395","-1","2173__2317_45851","2317","2173__2317_45851-1","p__Euryarchaeota"
"413","-1","2173__2317_45851","45851","2173__2317_45851-1","p__Terrabacteria group"
"469","1","1280__197614_762210","1280","1280__197614_7622101","p__Terrabacteria group"
"520","-1","1280__197614_762210","197614","1280__197614_762210-1","p__Terrabacteria group"
"545","-1","1280__197614_762210","762210","1280__197614_762210-1","p__Terrabacteria group"
"590","1","39485__158847_301301","39485","39485__158847_3013011","p__Terrabacteria group"
"608","-1","39485__158847_301301","158847","39485__158847_301301-1","p__Terrabacteria group"
"619","-1","39485__158847_301301","301301","39485__158847_301301-1","p__Terrabacteria group"
"668","1","1685__28025_40519","1685","1685__28025_405191","p__Terrabacteria group"
"672","-1","1685__28025_40519","28025","1685__28025_40519-1","p__Terrabacteria group"
"687","-1","1685__28025_40519","40519","1685__28025_40519-1","p__Terrabacteria group"
"765","1","28026__239935","28026","28026__2399351","p__Terrabacteria group"
"800","-1","28026__239935","239935","28026__239935-1","p__PVC group"
"841","-1","78448__1352_931533","1352","78448__1352_931533-1","p__Terrabacteria group"
"879","1","78448__1352_931533","78448","78448__1352_9315331","p__Terrabacteria group"
"916","-1","78448__1352_931533","931533","78448__1352_931533-1","p__Terrabacteria group"
"943","-1","216816__1680_410072","1680","216816__1680_410072-1","p__Terrabacteria group"
"982","1","216816__1680_410072","216816","216816__1680_4100721","p__Terrabacteria group"
"999","-1","216816__1680_410072","410072","216816__1680_410072-1","p__Terrabacteria group"
"1064","1","84026__589436","84026","84026__5894361","p__Terrabacteria group"
"1095","-1","84026__589436","589436","84026__589436-1","p__FCB group"
"1152","1","69825__397865","69825","69825__3978651","p__Terrabacteria group"
"1182","-1","69825__397865","397865","69825__397865-1","p__FCB group"
"1242","1","46506__308994","46506","46506__3089941","p__FCB group"
"1265","-1","46506__308994","308994","46506__308994-1","p__Terrabacteria group"
"1303","1","1492__187327","1492","1492__1873271","p__Terrabacteria group"
"1347","-1","1492__187327","187327","1492__187327-1","p__Terrabacteria group"
"1445","1","246618__387661","246618","246618__3876611","p__Terrabacteria group"
"1457","-1","246618__387661","387661","246618__387661-1","p__FCB group"
"1519","1","47678__387090","47678","47678__3870901","p__FCB group"
"1548","-1","47678__387090","387090","47678__387090-1","p__FCB group"
"1635","1","310297__454154","310297","310297__4541541","p__FCB group"
"1644","-1","310297__454154","454154","310297__454154-1","p__FCB group"
"1697","1","39778__1161942","39778","39778__11619421","p__Terrabacteria group"
"1747","-1","39778__1161942","1161942","39778__1161942-1","p__Terrabacteria group"
"1778","1","28116__39777","28116","28116__397771","p__FCB group"
"1788","-1","28116__39777","39777","28116__39777-1","p__Terrabacteria group"
"1847","1","1260__29375","1260","1260__293751","p__Terrabacteria group"
"1872","-1","1260__29375","29375","1260__29375-1","p__Terrabacteria group"
"1952","1","1596__33035","1596","1596__330351","p__Terrabacteria group"
"1967","-1","1596__33035","33035","1596__33035-1","p__Terrabacteria group"
"2042","-1","1114067__1520_137591","1520","1114067__1520_137591-1","p__Terrabacteria group"
"2078","-1","1114067__1520_137591","137591","1114067__1520_137591-1","p__Terrabacteria group"
"2114","1","1114067__1520_137591","1114067","1114067__1520_1375911","p__Terrabacteria group"
"2127","-1","37734__1304_521157","1304","37734__1304_521157-1","p__Terrabacteria group"
"2153","1","37734__1304_521157","37734","37734__1304_5211571","p__Terrabacteria group"
"2197","-1","37734__1304_521157","521157","37734__1304_521157-1","p__Terrabacteria group"
