"","158787__165179_218538","74426__33034_301302","351091__39778_1161942","349096__47678_387090","2173__2317_45851","1280__197614_762210","39485__158847_301301","1685__28025_40519","28026__239935","78448__1352_931533","216816__1680_410072","84026__589436","69825__397865","46506__308994","1492__187327","246618__387661","47678__387090","310297__454154","39778__1161942","28116__39777","1260__29375","1596__33035","1114067__1520_137591","37734__1304_521157","1515__1343_1623","762211__1267_39488","40518__204516","1680__410072","1630__943673","158847__301301","78345__309120","1282__536633","197614__762210","1352__931533","820__821","36745__562_1559","2317__45851","33034__301302","28025__40519","679249__1504_310298","1343__1623","1304__521157","1520__137591","1267__39488","28117__853_261299","165179__218538","562__1559","1504__310298","762212__1686_1755626","853__261299","1686__1755626"
"SRR6935739",-5.30761381600375,2.94492759396022,0,0,0,0,0,0,3.57003064797105,0,0,0,-2.89368865880339,-2.97090384277973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78314769664685,3.92572286851761,0,0,-1.68100782549484,4.82055321556064,2.91159096167793
"SRR6935785",-3.59512157413586,0,0,0,0,0,0,0,0,0,0,-0.0475990599100221,0,0,0,0,0,0,0,0,0,-3.8564375489178,0,0,0,0,0,0,0,0,0,0,0,0,-0.471739417435993,0,0,0,0,0,0,0,0,0,0,6.22693322579031,0,0,-2.72757596530077,0,-4.72430015340466
"SRR6935809",-6.56587915200387,0,0,0,-2.29267244315895,0,0,0,0,0,0,0,4.22124014402584,0,-4.10584682518668,0,0,0,0,0,-3.9497892193672,0,0,0,0,0,0,0,0,0,-3.92343364034645,0,0,0,0,0,-3.97102515666437,0,0,-2.48658279629467,0,0,0,0,0,1.15429863440416,0,-4.30688774040907,-2.5633868427886,0,-4.43991625116344
"SRR6935814",-5.79433485461569,-2.53344600662645,0,0,0,0,0,-2.46798688977717,0,0,-2.31123461467869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00317578083536,0,0,0,0,0,0,5.04602709900174,0,0,-4.38805720170949,-4.27467868550795,0,0,0,0,0,2.57702757843263,1.56250772884114,0,0,-2.31469500257188,4.26643095254198,4.00916934848027
"SRR6935818",-5.84985339136598,0,0,3.17014859641354,0,0,2.3450841902204,0,0,0,0,0,0,0,0,0,-4.02703769878196,0,0,0,0,0,0,0,0,0,0,0,0,-3.89449754757197,0,0,0,0,0,-3.06522428971604,0,0,0,-2.03475178435095,0,0,0,0,0,2.58377533121475,5.3091242063824,-3.52429347128728,-3.01929181070507,0,-5.22956681901781
"SRR6935824",0,-2.42833015747924,0,0,0,-2.81990523571757,0,0,0,-2.63246360047505,0,0,0,0,0,0,0,0,0,0,0,0,-2.82854107893405,-3.18844685796949,0,-2.69495643153331,0,0,5.31358542517371,0,0,0,-4.88421914079232,4.55956070509848,0,0,0,4.20599121030578,0,0,0,-5.52255195523651,-4.89917686000947,-4.6678014636002,-2.62262547667778,0,0,0,0,-4.54252057483046,0
"SRR6935853",4.91560990603859,0,0,0,0,1.53071754651674,0,4.45998410992494,5.32525289590514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50456985959312,4.63842120114509,6.18198047126198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42309088116341,0,5.35165348600256
"SRR6935855",0,0,0,0,-2.60469254328846,0,0,-2.13280905147066,0,0,0,0,0,0,0,0,0,0,0,0,3.81256050616975,3.88771968243377,-2.72018088090956,0,0,0,0,0,-4.33498206490712,0,0,0,0,0,0,-3.70274982267258,4.51145982307141,0,-3.69413363998997,2.30357335845125,0,0,4.71149149151282,0,0,0,-6.41335082058556,4.97528068840626,0,0,0
"SRR6935856",0,0,0,0,0,0,0,2.81102609902719,0,0,1.46503034241404,0,0,0,0,0,0,0,0,0,0,0,-2.37888807499352,-2.48287281172784,0,0,4.67219056722478,5.99468732379459,4.43061233701252,0,0,0,0,0,0,0,0,0,4.12035501140849,0,0,-4.30046185864402,-4.12035501140849,0,-2.55086319318731,0,0,0,0,-4.4182246537578,0
"SRR6935857",5.16698176626891,2.37019345049697,0,0,0,5.1389685588161,0,-2.36058422399676,5.70373437980045,-2.62346299286069,0,0,0,0,0,4.09988327627965,0,0,0,0,0,0,0,0,-2.34235512787157,0,0,0,0,0,0,0,0,4.54397119541142,0,0,0,4.19985335450642,4.08865181150795,0,-4.05707809084305,0,0,0,0,0,0,0,0,0,0
"SRR6935859",-1.63583240852695,0,0,0,-2.03139862249791,0,0,0,3.93007219997999,0,0,3.3138542970758,0,0,3.01739385976778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266709981894853,3.51848562459181,0,0,-2.25109419751208,0,0,0,0,0,2.83334484423645,-5.65856828353791,3.89900952271442,-1.87824003682425,0,3.25320717258964
"SRR6935892",-2.17242538572145,0,0,0,0,0,3.1327990775529,0,0,0,0,0,0,4.15376784671694,0,0,0,4.01694405357108,0,0,0,0,0,0,0,0,0,0,0,-4.44482562645177,0,0,0,0,0,-2.1539413045689,0,0,0,-3.22694857308162,0,0,0,0,0,-3.76275114372198,3.73073577603452,-5.58923888198925,-3.33564485432426,0,-5.7775063636953
"SRR6935894",-3.52871212096772,0,-1.98475225219522,0,0,0,2.00526138786163,0,0,0,0,0,0,0,0,0,0,0,3.43769174123888,-3.7380169881062,0,0,0,0,0,-2.84334682398282,0,0,0,4.42308798549763,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92482116267784,-2.54297739157759,6.11190867880022,0,0,-2.08526627194716,4.40456604471136,3.61178713032221
"SRR6935896",-6.52747764642813,0,0,0,0,0,0,0,0,0,-2.68009903702842,0,0,0,0,0,0,0,0,3.98483362538064,0,0,0,0,-2.48250827995489,0,0,4.64206770144964,0,0,-4.4312486740701,0,0,0,-4.60102272224226,0,0,0,0,-2.50077060912538,-4.29983047109229,0,0,0,0,0.304662997868457,0,-4.33146175308014,-2.98838141930725,0,-5.17602845063495
"SRR6935901",5.73749120476265,5.30489337382768,0,0,0,-2.64775911800963,0,0,0,1.31043383122785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06624880179876,0,0,0,0,0,0,-4.58605331859643,6.4388833380553,0,0,0,0,0,0,0,0,0,-4.87076177353179,0,0,0,0,-2.25388381295587,0,-3.90384127839663
"SRR6935906",1.73775211855497,5.08943888409544,0,0,0,0,0,0,0,-4.48683788170095,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5341791629288,-2.49579211189143,0,0,0,0,0,0,0,0,0.318841236515355,0,0,0,0,0,0,4.32283874292558,4.38932706567505,0,0,0,5.09273615449706,0,0,-2.97150783986985,0,5.14680255374382
"SRR6935913",0,0,0,0,0,0,0,0,-0.751834688601533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86162235895407,-2.49953579643418,4.43392822072273,0,0,0,0,-4.22363733478016,0,0,0,0,0,0,0,0,-5.75652559619948,0,0,-4.32932299476113,0,0,0,0,-2.38707782891852,0,-4.13454008130808
"SRR6935954",0,0,0,0,0,0,0,0,4.46417257885352,-3.04380147178677,0,0,0,0,0,0,0,0,0,0,0,0,1.70596844809854,1.55839542162827,0,0,0,0,0,0,0,0,0,5.27201879728761,0,0,0,0,0,0,0,-5.1572866036714,-4.92146344226372,0,-2.37542005402004,0,0,0,0,-4.11434822288072,0
"SRR6935957",-2.194833077477,1.98741317164301,0,0,0,0,0,0,3.7956460038398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86395068431922,0,0,0,0,0,0,0,0,0,1.90639441206612,0,-3.61367970650089,0,-3.15282848963188,0,0,0,4.96050809561255,0,3.80156240432293,-5.5019350062222,5.46085913159307,0,0,0
"SRR6935972",-5.50357836976514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4742923215257,-2.6100842959117,-2.57682296075761,0,0,0,0,0,0,0,0,0,0,-2.92259522534896,0,0,0,-2.58201162947824,4.46318829014224,4.5207986125567,4.28560001366006,0,-2.81967646744162,0.719024246337168,-5.06208342026261,4.47217532799003,0,4.88382290251521,0
