oldID,newID
158787_and_165179_and_218538,158787__165179_218538
301302_and_33034_and_74426,74426__33034_301302
1161942_and_351091_and_39778,351091__39778_1161942
349096_and_387090_and_47678,349096__47678_387090
2173_and_2317_and_45851,2173__2317_45851
1280_and_197614_and_762210,1280__197614_762210
158847_and_301301_and_39485,39485__158847_301301
1685_and_28025_and_40519,1685__28025_40519
239935_and_28026,28026__239935
1352_and_78448_and_931533,78448__1352_931533
1680_and_216816_and_410072,216816__1680_410072
589436_and_84026,84026__589436
397865_and_69825,69825__397865
308994_and_46506,46506__308994
1492_and_187327,1492__187327
246618_and_387661,246618__387661
387090_and_47678,47678__387090
310297_and_454154,310297__454154
1161942_and_39778,39778__1161942
28116_and_39777,28116__39777
1260_and_29375,1260__29375
1596_and_33035,1596__33035
1114067_and_137591_and_1520,1114067__1520_137591
1304_and_37734_and_521157,37734__1304_521157
1343_and_1515_and_1623,1515__1343_1623
1267_and_39488_and_762211,762211__1267_39488
204516_and_40518,40518__204516
1680_and_410072,1680__410072
1630_and_943673,1630__943673
158847_and_301301,158847__301301
309120_and_78345,78345__309120
1282_and_536633,1282__536633
197614_and_762210,197614__762210
1352_and_931533,1352__931533
820_and_821,820__821
1559_and_36745_and_562,36745__562_1559
2317_and_45851,2317__45851
301302_and_33034,33034__301302
28025_and_40519,28025__40519
1504_and_310298_and_679249,679249__1504_310298
1343_and_1623,1343__1623
1304_and_521157,1304__521157
137591_and_1520,1520__137591
1267_and_39488,1267__39488
261299_and_28117_and_853,28117__853_261299
165179_and_218538,165179__218538
1559_and_562,562__1559
1504_and_310298,1504__310298
1686_and_1755626_and_762212,762212__1686_1755626
261299_and_853,853__261299
1686_and_1755626,1686__1755626
