"","820__310298_357276","310298__357276","387090__1559_1624","154046__28123_36847","33010__197614_309120","36834__573_187327","1307__823_180164","1267__28446_39493","28137__1134563","1282__29385","423605__1161942","28446__39493","29363__729_29360","329854__102684_572010","28127__33031","1613__39778","281920__386414","755171__54005_337315","901__165179","329__818_74426","1285__1313","53446__155617","33034__33037_54007","823__180164","33037__54007","852__28128","33039__166486_218538","28123__36847","1492__29367","907__1680_290112","328812__31971_397865","40519__1304_28037","103891__246787","818__74426","1502__859_358742","573__187327","1522__1547","47770__28116_487175","54005__337315","33029__33032","208479__180311_454154","633701__28117_261299","102684__572010","1322__28447_626937","103892__310300","88431__437898","328813__46503_1755626","310297__1308_371601","1352__54006","214856__1343_40520","1755607__817_821","197614__309120","1559__1624","166486__218538","46228__853_301302","28116__487175","358743__33038_47678","163665__29466_69825","28117__261299","1304__28037","33035__40518_204516","817__821","46503__1755626","29466__69825","33038__47678","1308__371601","39791__1532_28136","859__358742","84026__84030","234908__39777_1465754","31971__397865","1686__1685_1694","180311__454154","190721__351091","97253__39486_39490","28114__387661","40518__204516","1680__290112","1685__1694","1532__28136","39777__1465754","729__29360","287__28026","1303__410072","851__1297750","39486__39490","1343__40520","28447__626937","853__301302","39491__89014"
"SRR1023262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17226937310106,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76248092193683,0,0,0,-2.16467517729381,0,0,0,0,0,0,0,0,0,0,0,-2.1656310432531,0,0,0,0,-2.21083898397472,3.74932738895604,-4.54224805296724,0,0,0,0,0,0,0,0.416006828680672,0,0,0,0,0,0,0,0,0,0,-3.51768379297863,0,0,0,0,0,0,0,0,0,0,-3.75098299736277,0,3.82928544759817,-1.24906346187688
"SRR1023267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74468692937674,0,0,0,0,0,-2.19708607842321,-2.31239578382318,0,0,0,-2.95153679847178,0,0,0,0,0,-1.87767050724423,-4.0051869847898,0,0,0,0,0,0,3.33256588629845,0,0,0,0,-3.29491590939144,-2.66574426264661,0,3.25222071842063,0,0,0,0,0,0,0,0,4.61720450288916,-3.80546471643126,-3.02188640498185,5.11221169536231,-3.67948678412827
"SRR1023271",5.21562248633221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.679296889596958,0,-5.146467404603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77407214499133,0,0,0,0,0,0,0,0,0,0,-2.33299094859065,0,0,0,-2.86796354807666,0,-2.32938645566142,0,0,0,-2.20185911922063,-4.04085885655732,0,0,-4.03461569166837,0,0,0,0,0,0,0,0,0,0,0,3.81373186559899,0,0,0,0,0,0,0,0,0,0,0,4.96745857952428,0
"SRR1023276",5.56172263694326,0,0,4.9553034255051,0,0,0,0,0,0,0,0,0,4.25209515773585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18802251145699,0,0,0,4.67982087517116,0,0,0,0,0,0,0,0,-2.20675194765451,0,0,0,0,3.78976615794797,-3.58733619282617,0,0,0,0,-3.82220649303918,0,0,-6.21344854980563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0750770180484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74821572595151,0,0,0,0,-2.93547856683781,0,-2.20672655671066,0,0,0,-1.97364589437334,0,0,0,-3.82216251463439,0,0,0,0,0,0,0,0,-3.61163236312726,0,0,3.41845496520434,0,0,0,0,0,0,-4.74729431588584,0,0,-4.218879353798,0,5.08439802229255,-4.27973406574281
"SRR1023295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98192327737388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72583327528164,0,-2.82700710319182,0,0,0,0,0,0,0,4.89651993608635,0,0,3.07695117803993,0,3.50128690671063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72128172574969,0
"SRR1023299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.63791088740967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46108674460139,0,0,0,0,0,0,0,0,-2.4354409726803,0,0,0,0,0,0,0,-3.09281174758639,-4.2627272834839,0,-1.99957000191488,0,0,0,0,4.21830750351724,3.46335683660716,0,0,0,0,0,-4.66266787110037,0,0,0,0,0,-4.71120921617564,0,0,0,0,0.600302561221796,0,0,0,0,0,0,0,5.35690708506553,-4.6353231969651
"SRR1023303",-2.13814621517163,-3.70337787868837,0,0,0,0,0,0,0,0,0,0,0,0,-3.19291828813662,0,0,0,0,-2.06602069243834,0,0,0,0,0,-4.20486356467885,4.69996254499495,0,0,0,0,0,0,3.57845280879183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46272664990996,0,0,0,0,0,0,0,0,0,0,4.26556768279794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1023307",0,0,0,-2.70000816085107,0,0,0,0,0,0,0,0,0,0,0,0,-0.101930485659677,0,0,0,0,0,0,0,0,-0.0209617740027882,0,4.67655131544466,0,0,0,0,0,0,0,0,0,0,0,-4.94832602769906,0,0,0,0,0,0,0,0,0,0,-3.01508567386832,0,0,0,0,0,0,0,0,0,0,5.22228157631298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164385261684785,0,0,0,0,0
"SRR1023315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10366693228653,0,0,0,0,0,1.81723611177975,0,0,0,0,-2.45120574307497,0,-2.3528493932431,-2.03903422400504,0,0,-2.02693712847585,0,0,-3.53171087434851,4.07525469165466,0,0,0,0,0,0,0,0,0,0,0,3.51075809026793,0,0,0,0,0,0,-3.62806443654924,0,0,-4.03462654699271,-3.64365800892283,4.24561288681047,-5.02526355262534
