,D005764,D006262,accuracy,macro avg,weighted avg
precision,0.99,0.82,0.91,0.9,0.92
recall,0.86,0.98,0.91,0.92,0.91
f1-score,0.92,0.89,0.91,0.9,0.91
support,77.0,51.0,0.91,128.0,128.0
