,D006262,D015212,accuracy,macro avg,weighted avg
precision,0.71,0.71,0.71,0.71,0.71
recall,0.7,0.72,0.71,0.71,0.71
f1-score,0.71,0.71,0.71,0.71,0.71
support,280.0,280.0,0.71,560.0,560.0
